Date,Description,Amount
12/22/2023,SAM'S CLUB 8157 8157W. PALM BEACH       FL,-6.4
12/22/2023,WAL-MART SUPERCENTERWEST PALM BEACH     FL,19.33
12/21/2023,AplPay SPICE OF INDIWEST PALM BEA       FL,30.43
12/21/2023,AplPay SPICE OF INDIWEST PALM BEA       FL,76.23
12/20/2023,SAM'S CLUB 8157 8157W. PALM BEACH       FL,17.08
12/20/2023,SAM'S CLUB FUEL 8157WEST PALM BEACH     FL,23.78
12/20/2023,WAL-MART SUPERCENTERWEST PALM BEACH     FL,14.98
12/20/2023,WALMART.COM 80096665BENTONVILLE         AR,17.11
12/19/2023,SAM'S CLUB 8157 8157W. PALM BEACH       FL,30.93
12/19/2023,WAL-MART SUPERCENTERLAKE PARK           FL,17.75
12/18/2023,WALMART.COM 80096665BENTONVILLE         AR,10.68
12/17/2023,AMAZON.COM          AMZN.COM/BILL       WA,7.66
12/17/2023,AplPay TROPICAL FARMPALM BEACH GA       FL,3
12/17/2023,AplPay TROPICAL FARMWEST PALM BEA       FL,12.01
12/17/2023,WAL-MART SUPERCENTERJUPITER             FL,1.61
12/16/2023,AMAZON.COM          AMZN.COM/BILL       WA,-5.46
12/16/2023,AplPay PUBLIX       PALM BEACH GARDENS  FL,9.33
12/16/2023,MOBILE PAYMENT - THANK YOU,-700
12/15/2023,SAM'S CLUB 8157 8157W. PALM BEACH       FL,7.93
12/14/2023,AMAZON MARKEPLACE NA PA,7.48
12/13/2023,AplPay GLACIER WATERTAMPA               FL,0.5
12/13/2023,AplPay PUBLIX       PALM BEACH GARDENS  FL,3.1
12/13/2023,GEICO AUTO          (800)841-3000       DC,-36.96
12/12/2023,AplPay CHEVRON 02026RIVIERA BEACH       FL,34.74
12/12/2023,ONE PARKING FL INC 5WEST PALM BEA       FL,7.31
12/11/2023,TURO INC.* TRIP DEC SAN FRANCISCO       CA,982.64
12/10/2023,AMAZON.COM          AMZN.COM/BILL       WA,5.46
12/10/2023,AplPay PUBLIX       PALM BEACH GARDENS  FL,12.57
12/10/2023,WAL-MART SUPERCENTERLAKE PARK           FL,16.02
12/9/2023,AplPay PUBLIX       PALM BEACH GARDENS  FL,9.29
12/9/2023,SAM'S CLUB 8157 8157W. PALM BEACH       FL,23.37
12/8/2023,AplPay GLACIER WATERTAMPA               FL,0.5
12/8/2023,AplPay PUBLIX       PALM BEACH GARDENS  FL,6.23
12/7/2023,AplPay GARDEN BROS CSARASOTA            FL,16.64
12/6/2023,AplPay ARAMARK FP ANJUNO BEACH          FL,6.9
12/6/2023,GARDEN BROTHERS NUCLSarasota            FL,85.99
12/6/2023,WAL-MART SUPERCENTERLAKE PARK           FL,38.68
12/5/2023,AplPay PUBLIX       PALM BEACH GARDENS  FL,9.94
12/5/2023,AplPay WHOLEFDS PGA WEST PALM BEA       FL,13.36
12/4/2023,AplPay DOMINO'S 5062NORTH PALM BE       FL,9.08
12/3/2023,AplPay PUBLIX       PALM BEACH GARDENS  FL,6.89
12/3/2023,TEMU.COM            WILMINGTON          DE,19.23
12/3/2023,WAL-MART SUPERCENTERLAKE PARK           FL,-13.08
12/3/2023,WAL-MART SUPERCENTERLAKE PARK           FL,-7.49
12/3/2023,WAL-MART SUPERCENTERLAKE PARK           FL,-7.46
12/3/2023,WAL-MART SUPERCENTERLAKE PARK           FL,1.07
12/3/2023,WAL-MART SUPERCENTERLAKE PARK           FL,21.52
12/3/2023,WALMART.COM         WALMART.COM         AR,-11.64
12/1/2023,AplPay CHEVRON 03062NORTH PALM BEACH    FL,22.19
12/1/2023,LABCORP PSCC 2      800-845-6167        NC,9.17
12/1/2023,ONLINE PAYMENT - THANK YOU,-500
11/30/2023,AplPay SPICE OF INDIWEST PALM BEA       FL,31.07
11/30/2023,AplPay SPICE OF INDIWEST PALM BEA       FL,36.93
11/28/2023,AplPay TARGET       LAKE PARK           FL,-16.05
11/27/2023,WALMART.COM         WALMART.COM         AR,33.04
11/26/2023,AplPay BT*TEMU.COM  BOSTON              MA,38.48
11/26/2023,AplPay MACYS  WELLINWELLINGTON          FL,-13.9
11/26/2023,AplPay SPICE OF INDIWEST PALM BEA       FL,10.4
11/26/2023,AplPay SPICE OF INDIWEST PALM BEA       FL,33.59
11/25/2023,AplPay PUBLIX       PALM BEACH GARDENS  FL,10.29
11/25/2023,AplPay PUBLIX       PALM BEACH GARDENS  FL,10.83
11/25/2023,AplPay PUBLIX       PALM BEACH GARDENS  FL,12.86
11/25/2023,SAM'S CLUB 8157 8157W. PALM BEACH       FL,53.76
11/24/2023,AplPay JCPENNEY 2789WELLINGTON          FL,45.77
11/24/2023,AplPay MACYS  WELLINWELLINGTON          FL,13.9
11/24/2023,AplPay MCDONALD'S   WEST PALM BEACH     FL,4.16
11/24/2023,AplPay ROSS STORES #W PALM BEACH        FL,35.27
11/24/2023,AplPay SUBWAY       WEST PALM BEACH     FL,11.33
11/24/2023,AplPay TOBU ORIENTALWEST PALM BEA       FL,11.75
10/24/2023,SAM'S CLUB FUEL 8157WEST PALM BEACH     FL,35.89
10/24/2023,SAM'S CLUB 8157 8157W. PALM BEACH       FL,29.07
10/24/2023,AplPay ARAMARK FP AND LJUNO ARAMARK FP AN,6.9
10/24/2023,AplPay 8922 GREAT CLIPS AT FRENC 650000008,10.99
10/25/2023,WAL-MART SUPERCENTER 3348 3348,6.63
10/26/2023,MINUTECLINIC ,90.97
10/26/2023,AplPay SPICE OF INDIA-WEST PAL 000000001,86.54
10/26/2023,AplPay SPICE OF INDIA-WEST PAL 000000001,5.77
10/26/2023,AplPay PUBLIX,10.85
10/26/2023,AplPay PUBLIX,3.89
10/27/2023,AplPay PUBLIX,7.36
10/29/2023,AplPay TARGET,5.61
10/30/2023,AplPay CVS PHARMACY,41.97
10/30/2023,ROYAL PALM PEDIATRICS CEN 000000001,102.86
11/1/2023,AplPay PUBLIX,9.43
11/1/2023,AplPay CVS PHARMACY,7.39
11/1/2023,SAM'S CLUB 8157 8157W. PALM BEACH       FL,2852
11/1/2023,WAL-MART SUPERCENTER 4446 4446,5.98
11/1/2023,SAM'S CLUB FUEL 8157WEST PALM BEACH     FL,30.88
11/2/2023,AplPay SPICE OF INDIA-WEST PAL 000000001,19.94
11/2/2023,AOYAL PALM PEDIATRICS CEN 000000001,102.86
11/4/2023,AplPay SPICE OF INDIA- WEST PAL 000000001,2.5
11/4/2023,AplPay INDIA BAZAAR,28.04
11/4/2023,AplPay INDIA BAZAAR,32.87
11/5/2023,AplPay TROPICAL FARMERS MARKET 000000001,5.37
11/5/2023,AplPay 8922 GREAT CLIPS AT FRENC 650000008,12.99
11/6/2023,SAM'S CLUB 8157 8157W. PALM BEACH       FL,31.46
11/6/2023,AplPay DOMINO&apos;S 3879 000003879,13.9
11/7/2023,AplPay BURLINGTON STORES 1049 1049,50.26
11/8/2023,AplPay PUBLIX,6.58
11/10/2023,WAL-MART SUPERCENTER 3348 3348,16.47
11/11/2023,SAM'S CLUB 8157 8157W. PALM BEACH       FL,38.6
11/11/2023,SAM'S CLUB FUEL 8157WEST PALM BEACH     FL,29.44
11/11/2023,GLACIER WATER VENDING 650000010012097,2.6
11/11/2023,AplPay CHICK-FIL-A #03369 000000000553582,17.86
11/12/2023,AplPay PUBLIX,12.6
11/14/2023,SAM'S CLUB 8157 8157W. PALM BEACH       FL,59.54
11/14/2023,WAL-MART SUPERCENTER 4446 4446,48.64
11/15/2023,SAM'S CLUB 8157 8157W. PALM BEACH       FL,47.46
11/16/2023,AplPay SPICE OF INDIA-WEST PAL 000000001,32.31
11/16/2023,AplPay SPICE OF INDIA- WEST PAL 000000001,5.99
11/18/2023,AplPay NIC *- JD MCATHR BCH S P 0000,5
11/18/2023,EXXONMOBIL 4848,6.2
11/19/2023,AplPay JCPENNEY 2789 2789,64.81
11/20/2023,AplPay MACYS PALM BEACH GRDNS 000000760,57.15
11/21/2023,SAM'S CLUB 8157 8157W. PALM BEACH       FL,23.73
9/23/2023,AplPay PUBLIX,11.02
9/23/2023,WAL-MART SUPERCENTEA 3348 3348,9.79
9/23/2023,AplPay WHOLEFDS PGA 10188 000010188,4.41
9/26/2023,SAM'S CLUB FUEL 8157WEST PALM BEACH     FL,35.84
9/26/2023,SAM'S CLUB 8157 8157W. PALM BEACH       FL,4.79
9/26/2023,SAM'S CLUB 8157 8157W. PALM BEACH       FL,25.98
9/26/2023,PUBLIX,13.31
9/28/2023,AplPay PUBLIX,28.28
9/29/2023,SUNPASS OPERATIONS,1.31
9/30/2023,SAM'S CLUB 8157 8157W. PALM BEACH       FL,25.2
9/30/2023,AplPay PUBLIX,9.46
9/30/2023,AplPay TST* OLIVEU MEDITERRANEA 00043512,13.63
10/1/2023,WAL-MART SUPERCENTER 3348 3348,39.09
10/1/2023,AplPay CHARLEYS PHILLY STEAKS 22 650000012,18.47
10/1/2023,AplPay PUBLIX,14.92
10/2/2023,AplPay WHOLEFDS PGA 10188 000010188,8.42
10/3/2023,AplPay ARAMARK FP AND LJUNO ARAMARK FP AN,6.92
10/4/2023,SAM'S CLUB 8157 8157W. PALM BEACH       FL,31.73
10/4/2023,AplPay DOMINO&apos;S 3879 000003879,12.57
10/5/2023,AplPay SPICE OF INDIA-WEST PAL 000000001,48.69
10/5/2023,AplPay INDIA BAZAAR,23.96
10/6/2023,AplPay PUBLIX,8.76
10/7/2023,WAWA FUEL/CONVENIENCE,30.08
9/23/2023,WAL-MART SUPERCENTER 3348 3348,9.79
9/26/2023,PUBLIX,13.31
10/2/2023,AplPay WHOLEFDS PGA 10188 000010188,842
10/3/2023,AplPay ARAMARK FP AND LJUNO ARAMARK FP AN,6.92
10/5/2023,AplPay SPICE OF INDIA- WEST PAL 000000001,48.69
10/8/2023,WAL-MART SUPERCENTEA 3348 3348,10.23
10/8/2023,AplPay PUBLIX,11.36
10/10/2023,AplPay WHOLEFDS PGA 10188 000010188,5.99
10/10/2023,AplPay PUBLIX,12.48
10/11/2023,WAL-MART SUPERCENTER 3348 3348,23.16
10/12/2023,AplPay SPICE OF INDIA-WEST PAL 000000001,12.09
10/13/2023,LABCORP PSCC 2,16.66
10/14/2023,SAM'S CLUB 8157 8157W. PALM BEACH       FL,28.3
10/14/2023,SAM'S CLUB FUEL 8157WEST PALM BEACH     FL,36.4
10/14/2023,AplPay PUBLIX,9.41
10/16/2023,AplPay BURLINGTON STORES 1049 1049,69.47
10/16/2023,WAL-MART SUPERCENTER 4446 4446,45.63
10/16/2023,WALMART.COM,49.15
10/16/2023,AplPay TROPICAL FARMERS MARKET 000000001,2.78
10/17/2023,AplPay PUBLIX,10.29
