Date,Description,Amount
12/22/2023,SAM'S CLUB 8157 8157W. PALM BEACH       FL,-6.40
12/22/2023,WAL-MART SUPERCENTERWEST PALM BEACH     FL,19.33
12/21/2023,AplPay SPICE OF INDIWEST PALM BEA       FL,30.43
12/21/2023,AplPay SPICE OF INDIWEST PALM BEA       FL,76.23
12/20/2023,SAM'S CLUB 8157 8157W. PALM BEACH       FL,17.08
12/20/2023,SAM'S CLUB FUEL 8157WEST PALM BEACH     FL,23.78
12/20/2023,WAL-MART SUPERCENTERWEST PALM BEACH     FL,14.98
12/20/2023,WALMART.COM 80096665BENTONVILLE         AR,17.11
12/19/2023,SAM'S CLUB 8157 8157W. PALM BEACH       FL,30.93
12/19/2023,WAL-MART SUPERCENTERLAKE PARK           FL,17.75
12/18/2023,WALMART.COM 80096665BENTONVILLE         AR,10.68
12/17/2023,AMAZON.COM          AMZN.COM/BILL       WA,7.66
12/17/2023,AplPay TROPICAL FARMPALM BEACH GA       FL,3.00
12/17/2023,AplPay TROPICAL FARMWEST PALM BEA       FL,12.01
12/17/2023,WAL-MART SUPERCENTERJUPITER             FL,1.61
12/16/2023,AMAZON.COM          AMZN.COM/BILL       WA,-5.46
12/16/2023,AplPay PUBLIX       PALM BEACH GARDENS  FL,9.33
12/16/2023,MOBILE PAYMENT - THANK YOU,-700.00
12/15/2023,SAM'S CLUB 8157 8157W. PALM BEACH       FL,7.93
12/14/2023,AMAZON MARKEPLACE NA PA,7.48
12/13/2023,AplPay GLACIER WATERTAMPA               FL,0.50
12/13/2023,AplPay PUBLIX       PALM BEACH GARDENS  FL,3.10
12/13/2023,GEICO AUTO          (800)841-3000       DC,-36.96
12/12/2023,AplPay CHEVRON 02026RIVIERA BEACH       FL,34.74
12/12/2023,ONE PARKING FL INC 5WEST PALM BEA       FL,7.31
12/11/2023,TURO INC.* TRIP DEC SAN FRANCISCO       CA,982.64
12/10/2023,AMAZON.COM          AMZN.COM/BILL       WA,5.46
12/10/2023,AplPay PUBLIX       PALM BEACH GARDENS  FL,12.57
12/10/2023,WAL-MART SUPERCENTERLAKE PARK           FL,16.02
12/09/2023,AplPay PUBLIX       PALM BEACH GARDENS  FL,9.29
12/09/2023,SAM'S CLUB 8157 8157W. PALM BEACH       FL,23.37
12/08/2023,AplPay GLACIER WATERTAMPA               FL,0.50
12/08/2023,AplPay PUBLIX       PALM BEACH GARDENS  FL,6.23
12/07/2023,AplPay GARDEN BROS CSARASOTA            FL,16.64
12/06/2023,AplPay ARAMARK FP ANJUNO BEACH          FL,6.90
12/06/2023,GARDEN BROTHERS NUCLSarasota            FL,85.99
12/06/2023,WAL-MART SUPERCENTERLAKE PARK           FL,38.68
12/05/2023,AplPay PUBLIX       PALM BEACH GARDENS  FL,9.94
12/05/2023,AplPay WHOLEFDS PGA WEST PALM BEA       FL,13.36
12/04/2023,AplPay DOMINO'S 5062NORTH PALM BE       FL,9.08
12/03/2023,AplPay PUBLIX       PALM BEACH GARDENS  FL,6.89
12/03/2023,TEMU.COM            WILMINGTON          DE,19.23
12/03/2023,WAL-MART SUPERCENTERLAKE PARK           FL,-13.08
12/03/2023,WAL-MART SUPERCENTERLAKE PARK           FL,-7.49
12/03/2023,WAL-MART SUPERCENTERLAKE PARK           FL,-7.46
12/03/2023,WAL-MART SUPERCENTERLAKE PARK           FL,1.07
12/03/2023,WAL-MART SUPERCENTERLAKE PARK           FL,21.52
12/03/2023,WALMART.COM         WALMART.COM         AR,-11.64
12/01/2023,AplPay CHEVRON 03062NORTH PALM BEACH    FL,22.19
12/01/2023,LABCORP PSCC 2      800-845-6167        NC,9.17
12/01/2023,ONLINE PAYMENT - THANK YOU,-500.00
11/30/2023,AplPay SPICE OF INDIWEST PALM BEA       FL,31.07
11/30/2023,AplPay SPICE OF INDIWEST PALM BEA       FL,36.93
11/28/2023,AplPay TARGET       LAKE PARK           FL,-16.05
11/27/2023,WALMART.COM         WALMART.COM         AR,33.04
11/26/2023,AplPay BT*TEMU.COM  BOSTON              MA,38.48
11/26/2023,AplPay MACYS  WELLINWELLINGTON          FL,-13.90
11/26/2023,AplPay SPICE OF INDIWEST PALM BEA       FL,10.40
11/26/2023,AplPay SPICE OF INDIWEST PALM BEA       FL,33.59
11/25/2023,AplPay PUBLIX       PALM BEACH GARDENS  FL,10.29
11/25/2023,AplPay PUBLIX       PALM BEACH GARDENS  FL,10.83
11/25/2023,AplPay PUBLIX       PALM BEACH GARDENS  FL,12.86
11/25/2023,SAM'S CLUB 8157 8157W. PALM BEACH       FL,53.76
11/24/2023,AplPay JCPENNEY 2789WELLINGTON          FL,45.77
11/24/2023,AplPay MACYS  WELLINWELLINGTON          FL,13.90
11/24/2023,AplPay MCDONALD'S   WEST PALM BEACH     FL,4.16
11/24/2023,AplPay ROSS STORES #W PALM BEACH        FL,35.27
11/24/2023,AplPay SUBWAY       WEST PALM BEACH     FL,11.33
11/24/2023,AplPay TOBU ORIENTALWEST PALM BEA       FL,11.75
