Date,Description,Amount
12/30/2024,AplPay SPICE OF INDIWEST PALM BEA       FL,7.99
12/30/2024,AplPay SPICE OF INDIWEST PALM BEA       FL,53.71
12/26/2024,AplPay ALDI 77013 00LAKE PARK           FL,6.17
12/26/2024,AplPay PUBLIX       WEST PALM BEACH     FL,5.99
12/19/2024,AplPay SPICE OF INDIWEST PALM BEA       FL,77.56
12/18/2024,ONLINE PAYMENT - THANK YOU,-198.51
12/16/2024,AplPay ALDI 77013 00LAKE PARK           FL,19.97
12/14/2024,AplPay PUBLIX       WEST PALM BEACH     FL,18.66
12/11/2024,AplPay PUBLIX       WEST PALM BEACH     FL,3.38
12/09/2024,AplPay PUBLIX       PALM BEACH GARDENS  FL,2.63
12/08/2024,AplPay SPICE OF INDIWEST PALM BEA       FL,4.99
12/08/2024,AplPay SPICE OF INDIWEST PALM BEA       FL,32.16
12/08/2024,AplPay SPICE OF INDIWEST PALM BEA       FL,85.22
12/08/2024,AplPay TST* SLOAN'S WEST PALM BEA       FL,42.68
12/08/2024,AplPay WHOLEFDS PGA WEST PALM BEA       FL,4.99
12/07/2024,AplPay ALDI 77013 00LAKE PARK           FL,42.39
12/07/2024,AplPay INDUS INDIAN WEST PALM BEA       FL,34.21
11/30/2024,AplPay ALDI 77013 00LAKE PARK           FL,9.38
11/29/2024,AplPay BJS WHOLESALEWEST PALM BEA       FL,3.34
11/29/2024,AplPay KOHL'S       LAKE PARK           FL,10.70
11/29/2024,AplPay MACYS  WELLINWELLINGTON          FL,9.59
11/28/2024,MOBILE PAYMENT - THANK YOU,-467.74
11/26/2024,AplPay PUBLIX       WEST PALM BEACH     FL,10.02
11/26/2024,AplPay WHOLEFDS PGA WEST PALM BEA       FL,4.99
11/23/2024,AplPay ALDI 77013 00LAKE PARK           FL,6.87
11/23/2024,AplPay FOODTOWN OF NWEST PALM BEACH     FL,14.46
11/21/2024,AplPay SPICE OF INDIWEST PALM BEA       FL,17.92
11/21/2024,AplPay SPICE OF INDIWEST PALM BEA       FL,23.35
11/18/2024,AplPay ALDI 77080 00WEST PALM BCH       FL,13.92
11/18/2024,AplPay OLD NAVY US 7WEST PALM BEACH     FL,6.39
11/18/2024,OLD NAVY ON-LINE 084GROVEPORT           OH,-5.35
11/18/2024,OLD NAVY ON-LINE 084GROVEPORT           OH,5.35
11/18/2024,ONLINE PAYMENT - THANK YOU,-198.51
11/11/2024,AplPay ALDI 77080 00WEST PALM BCH       FL,17.09
11/11/2024,AplPay PUBLIX       PALM BEACH GARDENS  FL,1.43
11/11/2024,AplPay SPICE OF INDIWEST PALM BEA       FL,30.50
11/11/2024,AplPay SPICE OF INDIWEST PALM BEA       FL,50.38
11/07/2024,ONLINE PAYMENT - THANK YOU,-300.00
11/05/2024,AplPay ALDI 77013 00LAKE PARK           FL,14.55
11/02/2024,AplPay FOODTOWN OF NWEST PALM BEACH     FL,35.56
11/02/2024,AplPay TRADER JOE S PALM BEACH GA       FL,6.49
11/01/2024,MOBILE PAYMENT - THANK YOU,-198.51
10/30/2024,RACETRAC597   005975GAINESVILLE         GA,44.91
10/29/2024,AplPay PUBLIX #1515 PIGEON FORGE        TN,23.66
10/28/2024,AplPay PUBLIX #1515 PIGEON FORGE        TN,41.76
10/27/2024,AplPay DOLLAR GENERAGATLINBURG          TN,-2.51
10/27/2024,AplPay DOLLAR GENERAGATLINBURG          TN,2.51
10/26/2024,AplPay JANTA FARMERSKNOXVILLE           TN,82.07
10/26/2024,CVS PHARMACY        ATLANTA             GA,7.81
10/24/2024,AplPay ALDI 77013 00LAKE PARK           FL,4.48
10/19/2024,WAL-MART SUPERCENTERLAKE PARK           FL,-16.05
10/17/2024,ADJ REDIST PURCHASE BAL,-53.87
10/17/2024,DR ADJ REDIST PURCH PRIN,53.87
10/15/2024,AplPay ALDI 77013 00LAKE PARK           FL,6.64
10/14/2024,AplPay SPICE OF INDIWEST PALM BEA       FL,2.99
10/14/2024,AplPay SPICE OF INDIWEST PALM BEA       FL,47.37
10/14/2024,AplPay SPICE OF INDIWEST PALM BEA       FL,53.38
10/12/2024,K02T:0019 250.00 credit,-250.00
10/11/2024,AplPay FOODTOWN OF NWEST PALM BEACH     FL,21.36
10/06/2024,AplPay SPICE OF INDIWEST PALM BEA       FL,22.95
10/06/2024,AplPay SPICE OF INDIWEST PALM BEA       FL,91.59
10/05/2024,AplPay PUBLIX       PALM BEACH GARDENS  FL,11.89
10/03/2024,MOBILE PAYMENT - THANK YOU,-198.51
09/30/2024,AplPay 8922 GREAT CLPALM BEACH GA       FL,8.99
09/29/2024,BJS.COM EXP 00000549MARLBOROUGH         MA,61.41
09/28/2024,AplPay PUBLIX       WEST PALM BEACH     FL,60.29
09/23/2024,AplPay 9894 GREAT CLPALM BEACH GA       FL,10.99
09/22/2024,WAL-MART SUPERCENTERLAKE PARK           FL,-8.54
09/20/2024,WAL-MART SUPERCENTERLAKE PARK           FL,16.05
09/16/2024,AplPay PUBLIX       WEST PALM BEACH     FL,62.88
09/16/2024,AplPay SPICE OF INDIWEST PALM BEA       FL,38.21
09/12/2024,MOBILE PAYMENT - THANK YOU,-56.22
