Date,Description,Amount
4/1/2023,April-23,2155
5/1/2023,May-23,2176.88
6/1/2023,June-23,2229.93
7/1/2023,July-23,2234.58
8/1/2023,August-23,78.01
9/1/2023,September-23,2220.45
10/1/2023,October-23,2220.6
11/1/2023,November-23,2219.53
12/1/2023,December-23,2222.82
1/1/2024,January-24,2223.85
2/1/2024,February-24,2224.41
3/1/2024,March-24,2228.02
4/1/2024,April-24,2294.49
5/1/2024,May-24,2295.9
6/1/2024,June-24,2271.35
1/1/2025,January-25,2299.18
2/1/2025,February-25,2295.21
3/1/2025,March-25,2302.67
4/1/2025,April-25,2301.4
5/1/2025,May-25,2301.43
6/1/2025,June-25,2518.15
12/1/2025,December-25,2487.17
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
