Date,Description,Amount
9/29/2025,AplPay ALDI 77013 77LAKE PARK           FL,17.09
9/26/2025,AplPay FOODTOWN 0000WEST PALM BEACH     FL,29.59
9/24/2025,AplPay PUBLIX #2021 PALM BEACH GA       FL,4.11
9/21/2025,AplPay ALDI 77013 77LAKE PARK           FL,6.85
9/20/2025,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.7
9/20/2025,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.7
9/20/2025,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.7
9/18/2025,MOBILE PAYMENT - THANK YOU,-198.2
9/17/2025,AplPay ALDI 77013 77LAKE PARK           FL,4.08
9/16/2025,AplPay SPICE OF INDIWEST PALM BEA       FL,17.99
9/16/2025,AplPay SPICE OF INDIWEST PALM BEA       FL,29.96
9/16/2025,AplPay SPICE OF INDIWEST PALM BEA       FL,103.88
9/13/2025,AplPay ALDI 77013 77LAKE PARK           FL,16.87
9/13/2025,AplPay PUBLIX #2021 PALM BEACH GA       FL,2.5
9/9/2025,ONLINE PAYMENT - THANK YOU,-320
9/8/2025,AplPay FOODTOWN 0000WEST PALM BEACH     FL,30.81
9/7/2025,AplPay ALDI 77013 77LAKE PARK           FL,11.83
9/7/2025,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.7
9/7/2025,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.7
9/7/2025,AplPay PUBLIX #2021 PALM BEACH GA       FL,4.45
9/4/2025,YOUR CASH REWARD/REFUND IS,-75
9/2/2025,AplPay ALDI 77013 77LAKE PARK           FL,22.64
9/2/2025,AplPay TROPICAL FARMWEST PALM BEA       FL,7.53
8/30/2025,AplPay PUBLIX #2021 PALM BEACH GA       FL,30
8/25/2025,AplPay ALDI 77013 77LAKE PARK           FL,10.35
8/25/2025,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.7
8/25/2025,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.7
8/25/2025,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.7
8/23/2025,AplPay FOODTOWN 0000WEST PALM BEACH     FL,24.27
8/22/2025,AplPay ALDI 77013 77LAKE PARK           FL,4.69
8/21/2025,AplPay PUBLIX #2021 PALM BEACH GA       FL,1.55
8/21/2025,AplPay PUBLIX #2021 PALM BEACH GA       FL,8.25
8/19/2025,AplPay PUBLIX #2021 PALM BEACH GA       FL,7.91
