Date,Description,Amount
12/31/2025,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-5.32
12/31/2025,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-2.50
12/29/2025,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-2.14
12/26/2025,AMAZON MARKEPLACE NA PA,5.98
12/24/2025,AMAZON MARKEPLACE NA PA,2.50
12/23/2025,AMAZON MARKEPLACE NA PA,4.82
12/23/2025,AMAZON MARKEPLACE NA PA,48.11
12/20/2025,AMAZON.COM          AMZN.COM/BILL       WA,-23.53
12/20/2025,AMAZON.COM          AMZN.COM/BILL       WA,-23.53
12/19/2025,WALMART.COM         WALMART.COM         AR,8.01
12/19/2025,WALMART.COM         WALMART.COM         AR,9.59
12/18/2025,AMAZON MARKEPLACE NA PA,6.41
12/14/2025,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-16.25
12/14/2025,AMAZON MARKEPLACE NA PA,5.32
12/14/2025,AMAZON.COM          AMZN.COM/BILL       WA,-6.39
12/09/2025,WAL-MART SUPERCENTERLAKE PARK           FL,-6.29
12/09/2025,WAL-MART SUPERCENTERLAKE PARK           FL,15.59
12/06/2025,WAL-MART SUPERCENTERLAKE PARK           FL,-18.92
12/06/2025,WAL-MART SUPERCENTERLAKE PARK           FL,-5.35
12/06/2025,WAL-MART SUPERCENTERLAKE PARK           FL,-2.85
12/06/2025,WALMART.COM         WALMART.COM         AR,-9.57
12/05/2025,AMAZON MARKEPLACE NA PA,7.48
12/05/2025,MOBILE PAYMENT - THANK YOU,-523.99
12/03/2025,AMAZON MARKETPLACE PAMZN.COM/BILL       WA,30.22
12/03/2025,Redeem Cash Back at Amazon.com Credit,-30.22
12/02/2025,WALMART.COM         WALMART.COM         AR,-18.99
12/01/2025,AMAZON.COM          AMZN.COM/BILL       WA,42.77
12/01/2025,WAL-MART SUPERCENTERLAKE PARK           FL,-1.42
