Date,Description,Amount
9/26/2025,SAM'S CLUB 8157 8157W. PALM BEACH       FL,33.95
9/15/2025,SAM'S CLUB 8157 8157W. PALM BEACH       FL,61.28
9/2/2025,SUNPASS*ACC121623655888-865-5352        FL,10
8/29/2025,SAM'S CLUB 8157 8157W. PALM BEACH       FL,11.08
8/28/2025,ONLINE PAYMENT - THANK YOU,-67.36
8/23/2025,SAM'S CLUB 8157 8157W. PALM BEACH       FL,-10.81
8/23/2025,SAM'S CLUB 8157 8157W. PALM BEACH       FL,29.43
8/18/2025,BT*TEMU.COM         BOSTON              MA,15.73
8/18/2025,SAM'S CLUB 8157 8157W. PALM BEACH       FL,21.49
8/11/2025,SAM'S CLUB 8157 8157W. PALM BEACH       FL,21.54
8/9/2025,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-9.8
8/9/2025,MACYS  PALM BEACH GRPALM BEACH GA       FL,-10.69
7/29/2025,SAM'S CLUB 8157 8157W. PALM BEACH       FL,39.9
7/28/2025,MOBILE PAYMENT - THANK YOU,-80.22
7/25/2025,MACYS   .COM 0000001MASON               OH,9.26
7/25/2025,MACYS   .COM 0000001MASON               OH,17.1
7/25/2025,MACYS   .COM 0000001MASON               OH,28.86
7/10/2025,SUNPASS*ACC121623655888-865-5352        FL,10
7/9/2025,MOBILE PAYMENT - THANK YOU,-51.49
7/6/2025,SUNPASS*ACC121623655888-865-5352        FL,10
7/4/2025,CITY OF WPB PARKING WEST PALM BEA       FL,5
6/19/2025,CROCS ONLINE        NIWOT,-4.63
6/17/2025,AMAZON MARKEPLACE NA PA,9.8
6/16/2025,CROCS RETAIL        NIWOT               CO,46.32
5/27/2025,MOBILE PAYMENT - THANK YOU,-16.08
5/19/2025,AMAZON.COM          AMZN.COM/BILL       WA,-15.03
5/9/2025,WAL-MART SUPERCENTERLAKE PARK           FL,21.11
5/5/2025,SUNPASS*ACC121623655888-865-5352        FL,10
4/25/2025,ONLINE PAYMENT - THANK YOU,-75.12
4/18/2025,AMAZON.COM          AMZN.COM/BILL       WA,15.03
4/17/2025,OLD NAVY ON-LINE 084GROVEPORT           OH,-42.78
4/17/2025,OLD NAVY ON-LINE 084GROVEPORT           OH,-10.69
4/4/2025,OLD NAVY ON-LINE 084GROVEPORT           OH,35.81
4/2/2025,OLD NAVY ON-LINE 084GROVEPORT           OH,42.78
4/2/2025,WAL-MART SUPERCENTERLAKE PARK           FL,2.98
4/1/2025,TEMU.COM            WILMINGTON          DE,22.31
3/25/2025,MOBILE PAYMENT - THANK YOU,-27.75
3/24/2025,WAL-MART SUPERCENTERLAKE PARK           FL,9.68
3/16/2025,WAL-MART SUPERCENTERWEST PALM BEACH     FL,-7.49
3/10/2025,AplPay TEMU.COM     TEMU.COM            DE,-25.19
3/10/2025,AplPay TEMU.COM     TEMU.COM            DE,25.19
3/2/2025,WAL-MART SUPERCENTERLAKE PARK           FL,16.64
3/1/2025,TEMU.COM            WILMINGTON          DE,18.6
1/24/2025,ONLINE PAYMENT - THANK YOU,-33.71
1/22/2025,YOUR CASH REWARD/REFUND IS,-17.98
1/15/2025,TEMU.COM            TEMU.COM            DE,18.41
1/14/2025,MOBILE PAYMENT - THANK YOU,-100.05
1/13/2025,AMAZON MARKEPLACE NA PA,4.8
1/6/2025,AMAZON.COM          AMZN.COM/BILL       WA,14.43
1/2/2025,AMAZON MARKEPLACE NA PA,3.36
