Date,Description,Amount
12/31/2025,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
12/31/2025,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
12/31/2025,AplPay WHOLEFDS PGA WEST PALM BEA       FL,4.99
12/30/2025,$120 Disney Streaming Credit,-5.69
12/30/2025,DISNEY PLUS         BURBANK             CA,5.69
12/26/2025,AplPay ALDI 74024 74ORLANDO             FL,18.70
12/26/2025,AplPay PUBLIX       ORLANDO             FL,19.18
12/24/2025,AplPay ROSS STORES #PALM BCH GDNS       FL,17.11
12/23/2025,AplPay SPICE OF INDIWEST PALM BEA       FL,23.25
12/23/2025,AplPay SPICE OF INDIWEST PALM BEA       FL,43.96
12/23/2025,AplPay SPICE OF INDIWEST PALM BEA       FL,147.26
12/22/2025,AplPay ALDI 77013 77LAKE PARK           FL,8.26
12/21/2025,AplPay FOODTOWN 0000WEST PALM BEACH     FL,28.93
12/20/2025,AplPay SRI AYYAPPA STAMPA               FL,8.00
12/18/2025,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
12/18/2025,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
12/18/2025,AplPay SPICE OF INDIWEST PALM BEA       FL,14.63
12/18/2025,AplPay SPICE OF INDIWEST PALM BEA       FL,25.37
12/16/2025,AplPay ALDI 77013 77LAKE PARK           FL,9.24
12/15/2025,AplPay ALDI 77013 77LAKE PARK           FL,10.06
12/10/2025,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
12/10/2025,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
12/08/2025,MOBILE PAYMENT - THANK YOU,-460.04
12/05/2025,AplPay ALDI 77013 77LAKE PARK           FL,4.49
12/04/2025,AplPay SPICE OF INDIWEST PALM BEA       FL,1.78
12/04/2025,AplPay SPICE OF INDIWEST PALM BEA       FL,26.00
12/04/2025,AplPay SPICE OF INDIWEST PALM BEA       FL,27.12
12/04/2025,AplPay SPICE OF INDIWEST PALM BEA       FL,29.98
12/04/2025,AplPay SPICE OF INDIWEST PALM BEA       FL,41.56
