Date,Description,Amount
11/30/2025,DISNEY PLUS ECOM    BURBANK             CA,5.69
11/28/2025,AMAZON MARKEPLACE NA PA,7.99
11/25/2025,AplPay ALDI 77013 77LAKE PARK           FL,34.99
11/24/2025,AplPay FOODTOWN 0000WEST PALM BEACH     FL,37.89
11/23/2025,AplPay PUBLIX #2021 PALM BEACH GA       FL,51.38
11/20/2025,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
11/20/2025,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
11/12/2025,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
11/12/2025,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
11/12/2025,AplPay PUBLIX #2021 PALM BEACH GA       FL,9.00
11/11/2025,AplPay ALDI 77013 77LAKE PARK           FL,8.62
11/07/2025,AplPay FOODTOWN 0000WEST PALM BEACH     FL,1.56
11/07/2025,AplPay FOODTOWN 0000WEST PALM BEACH     FL,29.81
11/07/2025,AplPay SPICE OF INDIWEST PALM BEA       FL,18.38
11/07/2025,AplPay SPICE OF INDIWEST PALM BEA       FL,27.00
11/07/2025,AplPay SPICE OF INDIWEST PALM BEA       FL,42.75
11/04/2025,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
11/04/2025,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
11/02/2025,AplPay ALDI 77013 77LAKE PARK           FL,27.08
