Date,Description,Amount
10/31/2025,MOBILE PAYMENT - THANK YOU,-341.01
10/29/2025,AplPay ALDI 77013 77LAKE PARK           FL,4.04
10/29/2025,AplPay PUBLIX #2021 PALM BEACH GA       FL,8.59
10/29/2025,AplPay PUBLIX #2021 PALM BEACH GA       FL,8.84
10/26/2025,AplPay SPICE OF INDIWEST PALM BEA       FL,88.92
10/25/2025,AplPay ALDI 77013 77LAKE PARK           FL,10.18
10/25/2025,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
10/25/2025,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
10/25/2025,AplPay PUBLIX #2021 PALM BEACH GA       FL,3.15
10/25/2025,AplPay PUBLIX #2021 PALM BEACH GA       FL,5.34
10/20/2025,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
10/18/2025,AplPay ALDI 77013 77LAKE PARK           FL,9.25
10/18/2025,AplPay FOODTOWN 0000WEST PALM BEACH     FL,135.60
10/17/2025,AplPay ALDI 77013 77LAKE PARK           FL,17.03
10/15/2025,AplPay FORMULA-APP.CDOVER               DE,-59.99
10/13/2025,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
10/13/2025,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
10/11/2025,AplPay ALDI 77013 77LAKE PARK           FL,31.93
10/11/2025,AplPay FOODTOWN 0000WEST PALM BEACH     FL,17.04
10/07/2025,AplPay PUBLIX #2021 PALM BEACH GA       FL,7.34
10/05/2025,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
10/05/2025,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
10/04/2025,AplPay PUBLIX #2021 PALM BEACH GA       FL,10.29
10/03/2025,AplPay SPICE OF INDIWEST PALM BEA       FL,2.88
10/03/2025,AplPay SPICE OF INDIWEST PALM BEA       FL,112.37
10/02/2025,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
