Date,Description,Amount
1/3/2026,"Groupon, Inc. groupon.com IL",27.5
12/30/2025,ED MORSE HONDA RIVIERA BEACHFL,585.06
12/29/2025,TARGET 00023705 KISSIMMEE FL,3.21
12/29/2025,TARGET 00023705 KISSIMMEE FL,6.79
12/27/2025,GEICO *AUTO 800-841-3000 DC,716.24
12/26/2025,DOLLAR TREE LAKE PARK FL,1.34
12/24/2025,BJS.COM EXP 800-257-2582 MA,23.53
12/24/2025,BJS MEMBERSHIP 0996 800-257-2582 MA,15
12/23/2025,UA.COM*888-727-6687 MD BALTIMORE MD,-7.68
12/23/2025,UA.COM*888-727-6687 MD BALTIMORE MD,-24.49
12/23/2025,UA.COM*888-727-6687 MD BALTIMORE MD,-23.52
12/23/2025,TARGET PLUS BROOKLYN PARKMN,-63.56
12/22/2025,AIRBNB * INC AIRBNB.COM CA,95.85
12/22/2025,UA.COM*888-727-6687 MD underarmour.cMD,15.6
12/19/2025,JCPENNEY.COM 0001 800-322-1189 TX,28.09
12/18/2025,ONLINE/MOBILE PAYMENT CONF#1fplayqtr,-35
12/16/2025,UA.COM*888-727-6687 MD underarmour.cMD,7.68
12/15/2025,UA.COM*888-727-6687 MD underarmour.cMD,23.52
12/15/2025,WM SUPERCENTER #4446 WEST PALM BEAFL,24.07
12/13/2025,TARGET.COM * 800-591-3869 MN,63.56
12/12/2025,TARGET.COM * 800-591-3869 MN,-7.7
12/12/2025,TARGET.COM * 800-591-3869 MN,-6.42
12/12/2025,TARGET.COM * 800-591-3869 MN,-6.42
12/9/2025,UA.COM*888-727-6687 MD underarmour.cMD,21.38
12/8/2025,EL CAR WASH NORTHLAKE PALM BEACH GAFL,21.4
12/8/2025,POPEYES 4549 JBROYAL@ROYALFL,1.07
12/5/2025,UA.COM*888-727-6687 MD underarmour.cMD,49.46
12/5/2025,UA.COM*888-727-6687 MD underarmour.cMD,18.17
12/5/2025,TARGET.COM * 800-591-3869 MN,-5.35
