Date,Description,Amount
12/1/2025,TARGET.COM 800-591-3869 MN,35.83
12/1/2025,Harman/JBL/AKG/INF 877-8716755 CT,20.28
12/1/2025,UA.COM*888-727-6687 MD underarmour.cMD,43.56
12/1/2025,TARGET.COM * 800-591-3869 MN,6.42
12/1/2025,TARGET.COM * 800-591-3869 MN,15.73
12/1/2025,TARGET.COM * 800-591-3869 MN,6.42
12/1/2025,TARGET.COM * 800-591-3869 MN,6.42
12/1/2025,TARGET.COM 800-591-3869 MN,5.35
12/1/2025,TARGET 00019414 WEST PALM BEAFL,13.88
12/1/2025,WWW.KOHLS.COM #0873 866-887-8884 OH,18.18
12/1/2025,KOHL'S #1287 LAKE PARK FL,13.3
11/29/2025,JCPENNEY 2789 WELLINGTON FL,73.32
11/29/2025,TARGET.COM * 800-591-3869 MN,25.03
11/28/2025,FIVE BELOW 927 PALM BEACH GAFL,11.77
11/28/2025,DOLLAR TREE LAKE PARK FL,9.36
11/24/2025,AIRBNB * HMJH4WMQ8R AIRBNB.COM CA,1507.51
11/10/2025,WWW.KOHLS.COM #0873 866-887-8884 OH,32.24
11/6/2025,FOCUSED ON FOREVER 772-283-6807 FL,42.8
