Date,Amount,Description
9/25/2025,13.89,DOMINO'S 3879 WEST PALM BEAFL
9/23/2025,38.61,OLIVE GARDEN ZK 002644 WEST PALM BEAFL
9/17/2025,20.32,POPEYES 4549 RIVIERA BEACHFL
9/15/2025,-197.75,ONLINE PAYMENT THANK YOU
9/15/2025,5.87,PIZZA HUT 037638 PALM BEACH GAFL
9/15/2025,24.5,ONE THAI PALM BEACH GAFL
9/13/2025,3.2,KFC G979004 HOLLYWOOD FL
9/13/2025,49.16,KFC G979004 HOLLYWOOD FL
9/12/2025,12.51,MCDONALD'S F28730 PALM BEACH GAFL
9/10/2025,3.2,MCDONALD'S F28730 PALM BEACH GAFL
9/10/2025,18.08,MCDONALD'S F28730 PALM BEACH GAFL
9/8/2025,38.52,EL CAR WASH ONLINE CORAL GABLES FL
9/5/2025,-2498.12,BILTPROTECT RENT ACH CREDIT
9/4/2025,2498.12,BPS*BILT RENT NEW YORK NY
9/4/2025,10.69,DOMINO'S 5062 NORTH PALM BEFL
8/31/2025,107.18,THE INDIAN BISTRO CAPE CORAL FL
8/25/2025,3.21,POPEYES 4549 RIVIERA BEACHFL
8/22/2025,8.08,ARAMARK FP AND L JUNO JUNO BEACH FL
8/20/2025,10.42,ARAMARK FP AND L JUNO JUNO BEACH FL
8/18/2025,23.33,PANDA EXPRESS #3007 PALM BEACH GAFL
8/16/2025,5.55,BURGER KING #4451 Q07 RIVIERA BEACHFL
8/14/2025,-322.89,ONLINE PAYMENT THANK YOU
8/11/2025,12.18,ARAMARK FP AND L JUNO JUNO BEACH FL
8/6/2025,27.8,POPEYES 4549 RIVIERA BEACHFL
8/6/2025,-2499.06,BILTPROTECT RENT ACH CREDIT
8/5/2025,2499.06,BPS*BILT RENT NEW YORK NY
7/31/2025,13.89,DOMINO'S 5062 NORTH PALM BEFL
7/26/2025,18.16,DOMINO'S 5062 NORTH PALM BEFL
7/20/2025,47.99,TST*PARADISE BIRYANI P PARMA OH
7/19/2025,29.64,DOMINO'S 4857 FAIRVIEW PA
7/18/2025,100,ZAIKA INDIAN CUISINE NIAGARA FALLSNY
7/18/2025,19.01,MCDONALD'S F4447 NIAGARA FALLSNY
7/14/2025,6.42,POPEYES 4549 RIVIERA BEACHFL
7/9/2025,-244.99,ONLINE PAYMENT THANK YOU
7/8/2025,6.38,HYDERABAD CAFE GOLDEN OAK FL
7/8/2025,50.77,HYDERABAD CAFE GOLDEN OAK FL
7/6/2025,9.1,KFC G135308 FLORIDA CITY FL
7/6/2025,-2498.54,BILTPROTECT RENT ACH CREDIT
7/5/2025,8,NIC*-DEP FT ZACHARY TA KEY WEST FL
7/5/2025,13.53,WENDY'S 13023 MARATHON FL
7/4/2025,2498.54,BPS*BILT RENT NEW YORK NY
7/2/2025,28.87,WINGSTOP 1122 LAKE PARK FL
6/28/2025,1.34,DOLLAR TREE ROYAL PALM BEFL
6/27/2025,12.83,LITTLE CAESARS 3054-00 LAKE PARK FL
6/23/2025,13.7,TACO BELL 733094 PALM BEACH GAFL
6/23/2025,2.02,WENDYS 8847 PALM BEACH GAFL
6/23/2025,32.26,ONE THAI PALM BEACH GAFL
6/18/2025,2.6,NAYAX **PRIMO WATER CO VISTA CA
6/16/2025,-154.7,ONLINE PAYMENT THANK YOU
6/16/2025,76.16,SPO*DECCANSPICEINDIANP POMPANO BEACHFL
6/14/2025,2.6,NAYAX **PRIMO WATER CO VISTA CA
6/13/2025,5.34,LITTLE CAESARS 3054-00 LAKE PARK FL
