Date,Description,Amount
1/2/2025,"SPO*DECCANSPICEINDIANP POMPANO BEACH,FL",71.59
1/4/2025,"ARAMARK FP AND L JUNO JUNO BEACH   ,FL",3.48
1/6/2025,"POPEYES 4549 RIVIERA BEACH,FL",19.25
1/12/2025,"WALGREENS #6405 PALM BEACH GA,FL",3.45
1/15/2025,"PANDA EXPRESS #3007 PALM BEACH GA,FL",26.22
1/17/2025,"ARAMARK FP AND L JUNO JUNO BEACH   ,FL",12.96
1/17/2025,"DOMINO'S 5062 NORTH PALM BE,FL",11.76
1/18/2025,"KFC E320122 CORAL SPRINGS,FL",32.61
1/20/2025,"RICE AND NOODLE PALM BCH GDNS,FL",23.43
1/20/2025,"KFC E320080 NORTH PALM BE,FL",10.7
1/28/2025,"RICE AND NOODLE PALM BCH GDNS,FL",14.93
1/28/2025,"MCDONALD'S F28730 PALM BEACH GA,FL",2.68
1/30/2025,"MCDONALDS 28730 PALM BEACH GA,FL",4.27
2/6/2025,"ARAMARK FP AND L JUNO JUNO BEACH   ,FL",9.57
2/6/2025,"ARAMARK FP AND L JUNO JUNO BEACH   ,FL",6.09
2/7/2025,"LITTLE CAESARS 3054-00 LAKE PARK    ,FL",7.48
2/9/2025,"POPEYES 4549 RIVIERA BEACH,FL",3.21
2/14/2025,"DOMINO'S 5062 NORTH PALM BE,FL",10.69
2/15/2025,"SQ *KOCOA CHOCOLATE BA WEST PALM BEA,FL",8.02
2/15/2025,"BURGER KING #10675 Q07 LAKE WORTH   ,FL",5.67
2/19/2025,"POPEYES 4549 RIVIERA BEACH,FL",14.97
2/19/2025,"CHICK-FIL-A #01827 LAKE PARK    ,FL",9.3
2/20/2025,"BPS*BILT REWARDS A NEW YORK     ,NY",10
2/23/2025,"TST*5TH ELEMENT INDIAN POMPANO BEACH,FL",314.86
2/23/2025,"DOMINO'S 5062 NORTH PALM BE,FL",10.69
2/27/2025,"DOMINO'S 5062 NORTH PALM BE,FL",10.69
2/27/2025,"CHICK-FIL-A #01827 LAKE PARK    ,FL",5.4
3/1/2025,"BHN*GIFTCARDS.COM PLEASANTON   ,CA",50
3/4/2025,"MIAMI SUBS - 60 LAKE PARK    ,FL",25.65
3/9/2025,"WENDYS 8847 PALM BEACH GA,FL",7.49
3/16/2025,"PANDA EXPRESS #3007 PALM BEACH GA,FL",12.31
3/18/2025,"LITTLE CAESARS 3054-00 LAKE PARK    ,FL",4.27
3/28/2025,"SPICE OF INDIA WEST PALM BEA,FL",5.33
3/29/2025,"CHICK-FIL-A #01827 LAKE PARK    ,FL",5.77
3/31/2025,"OLIVE GARDEN ZK 002644 WEST PALM BEA,FL",26.21
4/4/2025,"LITTLE CAESARS 3054-00 LAKE PARK    ,FL",7.48
4/4/2025,"BURGER KING #10675 Q07 LAKE WORTH   ,FL",7.16
4/11/2025,"LITTLE CAESARS 3054-00 LAKE PARK    ,FL",8.55
4/13/2025,"POPEYES 4549 RIVIERA BEACH,FL",24.91
4/18/2025,"ARAMARK FP AND L JUNO JUNO BEACH   ,FL",11.27
4/18/2025,"BURGER KING #3680  Q07 WEST PALM BEA,FL",8.01
4/21/2025,"DOMINO'S 5062 NORTH PALM BE,FL",13.11
4/24/2025,"ARAMARK FP AND L JUNO JUNO BEACH   ,FL",7.44
4/25/2025,"POPEYES 4549 RIVIERA BEACH,FL",52.83
4/25/2025,"ARAMARK FP AND L JUNO JUNO BEACH   ,FL",6.09
5/1/2025,"BURGER KING #4451  Q07 RIVIERA BEACH,FL",6.82
5/1/2025,"BURGER KING #4451  Q07 RIVIERA BEACH,FL",2.13
5/3/2025,"CINEMARK PLANO        ,TX",12.83
5/5/2025,"WINGSTOP 1122 LAKE PARK    ,FL",0.01
5/6/2025,"ARAMARK FP AND L JUNO JUNO BEACH   ,FL",9.39
5/8/2025,"MCDONALD'S F28730 PALM BEACH GA,FL",2.68
5/8/2025,"DOLLAR TREE LAKE PARK    ,FL",2.68
5/9/2025,"SUBWAY 17507 5618400550   ,FL",7.48
5/12/2025,"POPEYES 4549 RIVIERA BEACH,FL",13.91
5/17/2025,"KFC E320080 NORTH PALM BE,FL",4.8
5/18/2025,"PANDA EXPRESS #3007 PALM BEACH GA,FL",23.01
5/19/2025,"MCDONALDS 28730 PALM BEACH GA,FL",6.74
5/21/2025,"BPS*BILT RENT NEW YORK     ,NY",300
5/21/2025,"BURGER KING #4451  Q07 RIVIERA BEACH,FL",10.69
