Date,Description,Amount
11/30/2025,UBER *EATS 8005928996 CA,30.2
11/28/2025,KFC E320099 LAKE WORTH FL,21.39
11/28/2025,KFC E320099 LAKE WORTH FL,3.2
11/28/2025,DOMINO'S 5062 NORTH PALM BEFL,5.46
11/18/2025,POPEYES 4549 RIVIERA BEACHFL,17.11
11/17/2025,SQ *CHICK-FIL-A MIAMI FL,8.08
11/14/2025,ONLINE PAYMENT THANK YOU,-139.54
11/14/2025,TARGET 00019414 WEST PALM BEAFL,-4.27
11/13/2025,DOMINO'S 5062 NORTH PALM BEFL,9.08
11/07/2025,DOMINO'S 5062 NORTH PALM BEFL,10.69
11/06/2025,ARAMARK FP AND L JUNO JUNO BEACH FL,5.89
11/06/2025,BILTPROTECT RENT ACH CREDIT,-2497.96
11/05/2025,KFC E320080 NORTH PALM BEFL,10.7
11/05/2025,BPS*BILT RENT NEW YORK NY,2497.96
11/04/2025,ARAMARK FP AND L JUNO JUNO BEACH FL,5.89
11/02/2025,WALGREENS #6405 PALM BEACH GAFL,18.18
11/02/2025,TARGET 00019414 WEST PALM BEAFL,34.09
11/01/2025,PANDA EXPRESS 1427 BOYNTON BEACHFL,25.04
