Date,Description,Amount
10/29/2025,POPEYES 4549 RIVIERA BEACHFL,12.82
10/29/2025,ARAMARK FP AND L JUNO JUNO BEACH FL,5.89
10/24/2025,ARAMARK FP AND L JUNO JUNO BEACH FL,6.09
10/17/2025,KFC E320080 NORTH PALM BEFL,21.4
10/17/2025,FEDEX OFFIC10700010769 NORTH PALM BEFL,2.14
10/16/2025,DOMINO'S 5062 NORTH PALM BEFL,13.89
10/13/2025,ONLINE PAYMENT THANK YOU,-252.44
10/5/2025,BILTPROTECT RENT ACH CREDIT,-2497.94
10/4/2025,BPS*BILT RENT NEW YORK NY,2497.94
10/1/2025,DOMINO'S 3879 WEST PALM BEAFL,13.89
