Date,Description,Amount
12/31/2025,COSTCO WHSE #0093 PALM BEACH GAFL,24.62
12/28/2025,7-ELEVEN 42348 KISSIMMEE FL,19.64
12/26/2025,CITI FLEX PAY,254.33
12/26/2025,COSTCO WHSE #651 ORLANDO FL,254.33
12/25/2025,CITI FLEX PAY,114.59
12/24/2025,COSTCO WHSE #0093 PALM BEACH GAFL,8.85
12/24/2025,COSTCO GAS #0093 PALM BEACH GAFL,28.06
12/23/2025,COSTCO WHSE #0623 ROYAL PALM BEFL,1.61
12/23/2025,COSTCO WHSE #0623 ROYAL PALM BEFL,114.59
12/20/2025,COSTCO GAS #0358 BRANDON FL,17.82
12/19/2025,COSTCO GAS #0093 PALM BEACH GAFL,6.05
12/19/2025,COSTCO WHSE #0093 PALM BEACH GAFL,13.27
12/18/2025,COSTCO GAS #0093 PALM BEACH GAFL,26.89
12/10/2025,COSTCO WHSE #0093 PALM BEACH GAFL,10.88
12/8/2025,COSTCO WHSE #0093 PALM BEACH GAFL,18.77
12/6/2025,COSTCO GAS #0093 PALM BEACH GAFL,31.18
12/6/2025,COSTCO WHSE #0093 PALM BEACH GAFL,43.79
