Date,Description,Amount
11/28/2025,COSTCO WHSE #0093 PALM BEACH GAFL,80.24
11/28/2025,COSTCO WHSE #0093 PALM BEACH GAFL,41.13
11/27/2025,PLAN FEE - CITI FLEX PLAN 04,0.0
11/27/2025,PLAN FEE - CITI FLEX PLAN 13,0.0
11/27/2025,PLAN FEE - CITI FLEX PLAN 14,0.0
11/27/2025,PLAN FEE - CITI FLEX PLAN 15,0.0
11/23/2025,COSTCO GAS #0093 PALM BEACH GAFL,28.69
11/22/2025,COSTCO WHSE #0093 PALM BEACH GAFL,59.54
11/15/2025,COSTCO GAS #0093 PALM BEACH GAFL,30.11
11/14/2025,"ONLINE PAYMENT, THANK YOU",-504.87
11/14/2025,COSTCO WHSE #0093 PALM BEACH GAFL,19.6
11/9/2025,COSTCO WHSE #0093 PALM BEACH GAFL,20.98
11/7/2025,COSTCO GAS #0093 PALM BEACH GAFL,28.51
11/4/2025,COSTCO WHSE #0093 PALM BEACH GAFL,30.34
11/1/2025,COSTCO GAS #0093 PALM BEACH GAFL,23.17
