Status,Date,Description,Debit,Credit
Cleared,09/26/2025,"RESTAURANT DEPOT RIVIERA BEACH FL",126.44,
Cleared,09/22/2025,"B2P*TAX COLLECT PALM B WEST PALM BEA FL",56.25,
Cleared,09/22/2025,"B2P*TAX COLLECT PALM B WEST PALM BEA FL",56.25,
Cleared,09/15/2025,"ONLINE PAYMENT, THANK YOU",,-41.00
Cleared,09/09/2025,"CITY OF PBG BURNS ROAD PALM BEACH GA FL",,-60.00
Cleared,09/03/2025,"OFFICE DEPOT #211 PALM BEACH GA FL",,-2.88
Cleared,09/03/2025,"CVS/PHARMACY #05141 PALM BEACH GA FL null XXXXXXXXXXXX9181",,-10.19
Cleared,09/01/2025,"INTEREST CHARGED TO STANDARD PURCH",22.32,
Cleared,08/31/2025,"CVS/PHARMACY #03616 FORT MYERS FL null XXXXXXXXXXXX9181",4.79,
Cleared,08/31/2025,"CVS/PHARMACY #00712 NAPLES FL null XXXXXXXXXXXX9181",21.98,
Cleared,08/31/2025,"RAILROAD MUSEUM OF SOU FORT MYERS FL null XXXXXXXXXXXX9181",30.00,
Cleared,08/28/2025,"ARAMARK FP AND L JUNO JUNO BEACH FL null XXXXXXXXXXXX9181",11.60,
Cleared,08/27/2025,"DOLLARTREE NORTH PALM BE FL null XXXXXXXXXXXX9181",2.94,
Cleared,08/26/2025,"Groupon, Inc. 312-288-6424 IL null XXXXXXXXXXXX9181",73.86,
Cleared,08/26/2025,"GEICO *AUTO 800-841-3000 DC",30.27,
Cleared,08/21/2025,"Lycatel LLC Newark NJ null XXXXXXXXXXXX9181",15.75,
Cleared,08/14/2025,"ONLINE PAYMENT, THANK YOU",,-41.00
Cleared,08/08/2025,"CITI SHOP STATEMENT CREDIT 0325153346190",,-10.00
Cleared,08/06/2025,"OFFICE DEPOT #211 8004633768 FL",10.56,
Cleared,08/06/2025,"TARGET 00019414 WEST PALM BEA FL null XXXXXXXXXXXX9181",40.41,
Cleared,08/02/2025,"Nayax **Primo Water Co Vista CA null XXXXXXXXXXXX9181",2.60,
Cleared,08/01/2025,"THE CHILDREN'S PLACE 18777522387 NJ null XXXXXXXXXXXX9181",10.97,
Cleared,08/01/2025,"INTEREST CHARGED TO STANDARD PURCH",29.81,
Cleared,07/31/2025,"Thankyou Points Redeemed TY OR275690523",,-200.00
Cleared,07/22/2025,"AIRBNB * HMCRW4P2JM 4158005959 CA null XXXXXXXXXXXX9410",,-112.50
Cleared,07/22/2025,"AIRBNB * HMCRW4P2JM 4158005959 CA null XXXXXXXXXXXX9410",,-350.00
Cleared,07/09/2025,"ONLINE PAYMENT, THANK YOU",,-41.00
Cleared,07/05/2025,"AIRPORTPARKINGRESERVAT 8007275464 IL null XXXXXXXXXXXX9181",36.76,
Cleared,07/03/2025,"CITY OF PBG BURNS ROAD PALM BEACH GA FL",,-60.00
Cleared,07/03/2025,"CITY OF PBG BURNS ROAD PALM BEACH GA FL",60.00,
Cleared,06/25/2025,"carters, Inc. Atlanta GA",11.11,
Cleared,06/25/2025,"GEICO *AUTO 800-841-3000 DC",673.00,
Cleared,06/23/2025,"BATH & BODY WORKS 3814 PALM BEACH GA FL null XXXXXXXXXXXX9181",5.34,
Cleared,06/23/2025,"ROSS STORES #1761 W PALM BEACH FL null XXXXXXXXXXXX9181",8.55,
Cleared,06/20/2025,"CITY OF PBG WEBSITE PALM BEACH GA FL",60.00,
Cleared,06/15/2025,"NORTH COUNTY AQUATIC C JUPITER FL",60.00,
Cleared,06/13/2025,"THE HOME DEPOT #0220 LAKE PARK FL null XXXXXXXXXXXX9181",5.32,
Cleared,06/07/2025,"AIRBNB * HMCRW4P2JM 4158005959 CA null XXXXXXXXXXXX9410",924.35,
Cleared,06/04/2025,"ONLINE PAYMENT, THANK YOU",,-19.47
Cleared,06/02/2025,"MEMBERSHIP FEE JUN 25-MAY 26",0.00,
Cleared,05/28/2025,"CHICK-FIL-A #01827 LAKE PARK FL null XXXXXXXXXXXX9181",19.47,
