Date,Amount,Description
9/24/2025,-500,ONLINE PAYMENT THANK YOU
9/15/2025,-200,ONLINE PAYMENT THANK YOU
9/7/2025,2.6,Primo Water Corporatio Vista CA
9/5/2025,5.48,INTEREST CHARGE ON PURCHASES
9/2/2025,-50,ONLINE PAYMENT THANK YOU
8/18/2025,-350,ONLINE PAYMENT THANK YOU
8/13/2025,0.48,TEMU.COM 130-248-0611 MA
8/8/2025,87.08,BJS WHOLESALE #0227 WEST PALM BEAFL
8/7/2025,5.21,INTEREST CHARGE ON PURCHASES
7/31/2025,16.45,RESTAURANT DEPOT RIVIERA BEACHFL
7/28/2025,-856.97,ONLINE PAYMENT THANK YOU
7/26/2025,60,VSI*PBC PARKS WEB 561-9666600 FL
7/23/2025,7.51,MACYS PALM BEACH GRDNS PALM BEACH GAFL
7/21/2025,18.4,TURO INC.* TRIP JUL 18 TURO.COM CA
7/20/2025,4.1,HUDSONNEWS ST732 CLEVELAND OH
7/18/2025,230,NIAGARA FALLS STATE PARK NIAGARA FALLSNY
7/8/2025,6,HAYSTACH DRYERS ORLANDO FL
7/4/2025,250,BALANCE TRANSFER FEE
7/4/2025,5000,ACH BT R202699 TO 7935
6/27/2025,-41.7,PROGRESSIVE *INSURANCE 800-776-4737 OH
6/22/2025,35.01,SHEIN.COM 844-8022500 NY
6/16/2025,-326.88,ONLINE PAYMENT THANK YOU
