Date,Amount,Description
1/3/2025,40.66,"FOSSIL.COM PAY 800-449-3056 ,TX"
1/4/2025,89.88,"FOSSIL.COM PAY 800-449-3056 ,TX"
1/5/2025,948.00,"PROGRESSIVE *INSURANCE 800-776-4737 ,OH"
1/11/2025,-44.00,"CASH BACK REDEMPTION REF 165066870   ,"
1/23/2025,75.65,"B2P*TAX COLL DMV PALM BCH 561-355-2264 ,FL"
2/9/2025,9.36,"DOLLARTREE NORTH PALM BE,FL"
2/9/2025,17.61,"TARGET        00019414 WEST PALM BEA,FL"
2/11/2025,21.51,"Temu.com Santa Monica ,CA"
2/20/2025,122.00,"Dollar Tax Filer Hyderabad    ,II"
2/22/2025,99.02,"CINEMARK 1048 ONLINE 180-0246362  ,FL"
2/22/2025,12.83,"Cinemark 800-2463627  ,TX"
2/26/2025,42.80,"FOCUSED ON FOREVER 772-283-6807 ,FL"
3/4/2025,-10.70,"TARGET        00019414 WEST PALM BEA,FL"
3/8/2025,27.50,"SQ *POPSICLES Delray Beach ,FL"
3/22/2025,12.83,"Cinemark 800-2463627  ,TX"
4/1/2025,130.00,"COSTCO *ANNUAL RENEWAL 800-774-2678 ,WA"
4/2/2025,99.00,"BBA AFTER SCHOOL INC. stripe@league,UT"
4/2/2025,8.01,"OLD NAVY US 7208 WEST PALM BEA,FL"
4/4/2025,5.35,"BURGER KING #10675 MRODRIGUEZ@RB,FL"
4/4/2025,71.51,"JCPENNEY 2789 WELLINGTON   ,FL"
4/18/2025,10.37,"BURGER KING #3680 JPATEL@BK-FL.,FL"
4/18/2025,24.01,"OLD NAVY US 7208 WEST PALM BEA,FL"
4/18/2025,-8.01,"OLD NAVY US 7208 WEST PALM BEA,FL"
4/23/2025,10.70,"DOLLAR TREE LAKE PARK    ,FL"
4/24/2025,1.02,"Temu.com Santa Monica ,CA"
4/28/2025,0.50,"TEMU.COM 130-248-0611 ,MA"
4/29/2025,1.34,"DOLLARTREE NORTH PALM BE,FL"
5/3/2025,137.28,"CINEMARK 1050 ONLINE Davie        ,FL"
5/3/2025,60.08,"BAWARCHI BIRIYANI MIAMI MIAMI        ,FL"
5/3/2025,15.68,"IKEA SUNRISE SUNRISE      ,FL"
5/3/2025,10.70,"FIVE BELOW 927 PALM BEACH GA,FL"
5/3/2025,9.88,"JCPENNEY 2159 BOYNTON BEACH,FL"
5/4/2025,-12.31,"CINEMARK 1050 ONLINE Davie        ,FL"
5/4/2025,1.07,"DOLLAR TREE LAKE PARK    ,FL"
5/8/2025,17.09,"HOMEDEPOT.COM 800-430-3376 ,GA"
5/8/2025,-3.41,"HOMEDEPOT.COM 800-430-3376 ,GA"
5/8/2025,-1.02,"Temu.com Santa Monica ,CA"
5/17/2025,23.59,"RESTAURANT DEPOT RIVIERA BEACH,FL"
5/22/2025,150.00,"PALM BEACH MMA AND CRO 561-502-6092 ,FL"
5/23/2025,-0.50,"TEMU.COM 1-302-4806118,MA"
5/23/2025,141.13,"ED MORSE HONDA RIVIERA BEACH,FL"
6/8/2025,297.65,"TURO INC.* TRIP JUL 18 TURO.COM     ,CA"
6/10/2025,-10.00,"MY DEALS CASH BACK FOR TU RO           ,"
12/5/2025,15.70,"TURO INC.* TRIP JUL 18 TURO.COM     ,CA"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
