Date,Description,Amount
04/28/2026,WAL-MART SUPERCENTERLAKE PARK           FL,-3.20
04/28/2026,WAL-MART SUPERCENTERTUCKER              GA,-4.10
04/25/2026,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-55.37
04/25/2026,WAL-MART SUPERCENTERCLERMONT            FL,1.00
04/20/2026,AMAZON MARKEPLACE NA PA,9.99
04/20/2026,AMAZON MARKEPLACE NA PA,10.64
04/20/2026,AMAZON.COM          AMZN.COM/BILL       WA,9.03
04/19/2026,AMAZON MARKEPLACE NA PA,13.28
04/18/2026,AMAZON MARKEPLACE NA PA,18.60
04/18/2026,AMAZON MARKEPLACE NA PA,21.29
04/17/2026,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-28.74
04/17/2026,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-15.17
04/17/2026,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-5.31
04/17/2026,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-4.78
04/17/2026,AMAZON.COM          AMZN.COM/BILL       WA,73.49
04/15/2026,MOBILE PAYMENT - THANK YOU,-21.62
04/12/2026,WAL-MART SUPERCENTERCOVINGTON           GA,-147.62
04/10/2026,WAL-MART SUPERCENTERTUCKER              GA,2.68
04/10/2026,WAL-MART SUPERCENTERTUCKER              GA,8.20
04/10/2026,WAL-MART SUPERCENTERTUCKER              GA,194.60
04/07/2026,AMAZON MARKEPLACE NA PA,25.81
04/07/2026,AMAZON MARKEPLACE NA PA,55.37
04/06/2026,AMAZON MARKEPLACE NA PA,7.98
04/06/2026,WALMART.COM 80092562BENTONVILLE         AR,3.20
04/05/2026,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-115.87
04/05/2026,AMAZON MARKEPLACE NA PA,28.74
04/03/2026,AMAZON MARKEPLACE NA PA,115.87
04/02/2026,AMAZON MARKEPLACE NA PA,4.78
04/02/2026,AMAZON MARKEPLACE NA PA,5.31
