Date,Description,Amount
04/30/2026,AplPay SPICE OF INDIWEST PALM BEA       FL,8.39
04/30/2026,AplPay SPICE OF INDIWEST PALM BEA       FL,16.36
04/30/2026,AplPay SPICE OF INDIWEST PALM BEA       FL,19.26
04/30/2026,AplPay SPICE OF INDIWEST PALM BEA       FL,23.31
04/30/2026,AplPay SPICE OF INDIWEST PALM BEA       FL,23.43
04/30/2026,AplPay SPICE OF INDIWEST PALM BEA       FL,40.47
04/29/2026,AplPay ALDI 77013 77LAKE PARK           FL,6.08
04/29/2026,AplPay OLIVE GARDEN WEST PALM BEA       FL,58.86
04/28/2026,$120 Disney Streaming Credit,-5.54
04/28/2026,AplPay ALDI 77013 77LAKE PARK           FL,0.87
04/28/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
04/28/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
04/28/2026,DISNEY PLUS         BURBANK             CA,5.54
04/25/2026,AplPay ALDI 74027 74CLERMONT            FL,5.84
04/25/2026,AplPay ALDI 74027 74CLERMONT            FL,32.64
04/24/2026,AplPay DOLLARTREE 00NORTH PALM BE       FL,1.33
04/24/2026,AplPay PUBLIX       CELEBRATION         FL,9.66
04/23/2026,AplPay ALDI 77013 77LAKE PARK           FL,20.29
04/22/2026,AplPay SPICE OF INDIWEST PALM BEA       FL,81.24
04/19/2026,AplPay ALDI 77013 77LAKE PARK           FL,17.23
04/19/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
04/19/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
04/18/2026,AplPay ALDI 77013 77LAKE PARK           FL,6.17
04/17/2026,AplPay PUBLIX       WEST PALM BEACH     FL,8.29
04/17/2026,AplPay PUBLIX #2021 PALM BEACH GA       FL,8.54
04/10/2026,AplPay CVS PHARMACY ATLANTA             GA,6.27
04/07/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
04/07/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
04/06/2026,AplPay ALDI 77013 77LAKE PARK           FL,8.02
04/03/2026,AplPay FIVE BELOW 92PALM BEACH GA       FL,61.77
04/03/2026,AplPay PUBLIX #2021 PALM BEACH GA       FL,8.51
04/03/2026,IXL FAMILY SUBSCRIPT650-372-4040        CA,-289.00
04/03/2026,IXL LEARNING FAMILY SAN MATEO,-11.10
04/01/2026,AplPay ALDI 77051 77JUPITER             FL,6.74
04/01/2026,AplPay MANGO TREE SUWEST PALM BEACH     FL,22.81
04/01/2026,AplPay RESTAURANT DERIVIERA BEACH       FL,56.73
04/01/2026,IXL FAMILY SUBSCRIPT650-372-4040        CA,231.20
