Date,Description,Amount
04/29/2026,COSTCO WHSE #0093 PALM BEACH GAFL,-13.81
04/29/2026,WWW COSTCO COM 800-955-2292 WA,-10.62
04/29/2026,COSTCO GAS #0093 PALM BEACH GAFL,42.31
04/29/2026,COSTCO WHSE #0093 PALM BEACH GAFL,27.72
04/27/2026,CITI FLEX PAY,686.18
04/27/2026,CITI FLEX PAY CREDIT-COSTCO WHSE #0093 P,-686.18
04/27/2026,PLAN FEE - CITI FLEX PLAN 10,0.0
04/26/2026,CIRCLE K # 04883 DAVENPORT FL,27.62
04/20/2026,COSTCO GAS #0093 PALM BEACH GAFL,41.47
04/15/2026,COSTCO WHSE #0093 PALM BEACH GAFL,24.11
04/14/2026,"ONLINE PAYMENT, THANK YOU",-345.55
04/14/2026,"ONLINE PAYMENT, THANK YOU",-700.0
04/13/2026,COSTCO WHSE #0093 PALM BEACH GAFL,10.6
04/13/2026,COSTCO WHSE #0093 PALM BEACH GAFL,33.98
04/13/2026,COSTCO WHSE #0093 PALM BEACH GAFL,686.18
04/11/2026,COSTCO WHSE #1175 CUMMING GA,13.57
04/10/2026,GEORGAAQUARIUM CAFE ATLANTA GA,22.81
04/09/2026,Popeyes 04549 Riviera BeachFL,5.33
04/09/2026,COSTCO GAS #0093 PALM BEACH GAFL,35.32
04/09/2026,COSTCO WHSE #0093 PALM BEACH GAFL,41.35
04/08/2026,AIRBNB * HMAY35CWX8 AIRBNB.COM CA,812.0
04/05/2026,MB-PARKING PARKMOBILE www.parkmobilFL,0.97
04/05/2026,MARATHON 30668 POMPANO BEACHFL,33.5
04/01/2026,CITI FLEX PAY CREDIT-COSTCO *ANNUAL RENE,-130.0
04/01/2026,Costco Annual Membership Renewal 1-800-7,130.0
04/01/2026,COSTCO WHSE #0093 PALM BEACH GAFL,46.55
04/01/2026,CITI FLEX PAY,130.0
