Date,Description,Amount
02/28/2026,AMAZON MARKEPLACE NA PA,55.34
02/19/2026,AMAZON.COM          AMZN.COM/BILL       WA,5.15
02/18/2026,AplPay BURGER KING  RIVIERA BEACH       FL,5.53
02/17/2026,AMAZON MARKEPLACE NA PA,18.09
02/11/2026,AMAZON MARKEPLACE NA PA,8.83
02/03/2026,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-32.58
02/02/2026,ONLINE PAYMENT - THANK YOU,-150.87
01/28/2026,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-10.53
01/28/2026,AMAZON.COM          AMZN.COM/BILL       WA,10.40
01/24/2026,AMAZON MARKEPLACE NA PA,5.31
01/15/2026,WAL-MART SUPERCENTERLAKE PARK           FL,-8.01
01/13/2026,AMAZON MARKEPLACE NA PA,10.11
01/07/2026,AMAZON.COM          AMZN.COM/BILL       WA,8.74
01/06/2026,AMAZON MARKEPLACE NA PA,32.58
01/05/2026,WMT PLUS Jan 2026 028009666546          AR,1.00
01/02/2026,MOBILE PAYMENT - THANK YOU,-100.41
01/01/2026,AMAZON MARKEPLACE NA PA,10.53
