Date,Description,Amount
02/28/2026,$120 Disney Streaming Credit,-5.54
02/28/2026,AMAZON.COM          AMZN.COM/BILL       WA,8.64
02/28/2026,DISNEY PLUS         BURBANK             CA,5.54
02/24/2026,AMAZON MARKEPLACE NA PA,8.51
02/23/2026,AplPay ALDI 77013 77LAKE PARK           FL,7.77
02/21/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
02/21/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
02/21/2026,AplPay PUBLIX       WEST PALM BEACH     FL,20.58
02/20/2026,AplPay FOODTOWN 0000WEST PALM BEACH     FL,37.45
02/20/2026,AplPay LITTLE CAESARLAKE PARK           FL,4.78
02/17/2026,AplPay FOODTOWN 0000WEST PALM BEACH     FL,8.49
02/16/2026,AplPay ALDI 77013 77LAKE PARK           FL,16.65
02/15/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
02/15/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
02/12/2026,AplPay SPICE OF INDIWEST PALM BEA       FL,34.19
02/12/2026,AplPay SPICE OF INDIWEST PALM BEA       FL,76.14
02/09/2026,AplPay FOODTOWN 0000WEST PALM BEACH     FL,51.01
02/06/2026,AplPay ALDI 77013 77LAKE PARK           FL,12.69
02/03/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
02/03/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
02/03/2026,AplPay PUBLIX #2021 PALM BEACH GA       FL,8.15
02/03/2026,AplPay PUBLIX #2021 PALM BEACH GA       FL,8.29
02/03/2026,MOBILE PAYMENT - THANK YOU,-480.44
02/01/2026,AplPay ALDI 77013 77LAKE PARK           FL,3.71
