Date,Description,Amount
3/2/2026,CHICK-FIL-A #01827 561-842-5805 FL,4.42
3/2/2026,KUMON MATH AND READING 561-5754640 FL,200
3/2/2026,APPLE STORE #R127 PALM BCH GDNSFL,30.89
2/27/2026,GEICO *AUTO 800-841-3000 DC,31.45
2/19/2026,BJS.COM EXP 800-257-2582 MA,44.48
2/18/2026,SAMS CLUB SERVICES 833-494-7267 FL,1536.06
2/17/2026,dollartax Hyderabad,108
2/14/2026,TARGET.COM 800-591-3869 MN,22.37
2/13/2026,ONLINE/MOBILE PAYMENT CONF#9ip2ywspg,-43
2/13/2026,EL CAR WASH NORTHLAKE 866-3045329 FL,-0.15
2/12/2026,EL CAR WASH NORTHLAKE 866-3045329 FL,-0.15
2/11/2026,BURLINGTON STORES 1049 LAKE PARK FL,10.64
2/9/2026,EL CAR WASH NORTHLAKE 866-3045329 FL,32.1
2/9/2026,BURGER KING #75 MRODRIGUEZ@RBFL,6.41
2/9/2026,SPO*DECCANSPICEINDIANPOMPPOMPANO BEACHFL,104.16
2/7/2026,ARAMARK FP AND L JUNO JUNO BEACH FL,7.83
2/2/2026,KUMON MATH AND READING 561-5754640 FL,200
2/2/2026,KUMON MATH AND READING 561-5754640 FL,68.7
