Date,Description,Amount
02/28/2026,COSTCO WHSE #0093 PALM BEACH GAFL,39.55
02/28/2026,COSTCO WHSE #0093 PALM BEACH GAFL,10.6
02/26/2026,CITI FLEX PAY,383.19
02/26/2026,CITI FLEX PAY CREDIT-COSTCO WHSE #0093 P,-383.19
02/26/2026,PLAN FEE - CITI FLEX PLAN 06,0.0
02/26/2026,PLAN FEE - CITI FLEX PLAN 07,0.0
02/26/2026,PLAN FEE - CITI FLEX PLAN 08,0.0
02/25/2026,COSTCO GAS #0093 PALM BEACH GAFL,28.61
02/24/2026,COSTCO WHSE #0093 PALM BEACH GAFL,383.19
02/20/2026,COSTCO WHSE #0093 PALM BEACH GAFL,31.91
02/17/2026,Popeyes 04549 Riviera BeachFL,18.1
02/17/2026,COSTCO GAS #0093 PALM BEACH GAFL,29.95
02/17/2026,COSTCO WHSE #0093 PALM BEACH GAFL,54.05
02/12/2026,"ONLINE PAYMENT, THANK YOU",-2299.22
02/08/2026,COSTCO WHSE #0093 PALM BEACH GAFL,35.51
02/05/2026,COSTCO WHSE #0093 PALM BEACH GAFL,27.4
02/05/2026,COSTCO GAS #0093 PALM BEACH GAFL,27.75
