Date,Description,Amount
01/31/2026,AplPay TARGET.COM   BROOKLYN PARK       MN,2.39
01/31/2026,SAM'S CLUB 8157 8157W. PALM BEACH       FL,6.32
01/31/2026,WAL-MART SUPERCENTERLAKE PARK           FL,-4.88
01/31/2026,WAL-MART SUPERCENTERLAKE PARK           FL,11.81
01/29/2026,WALMART.COM         WALMART.COM         AR,-17.03
01/24/2026,FRONTIER AIRLINES AIDENVER              CO,52.46
01/15/2026,WAL-MART SUPERCENTERLAKE PARK           FL,-36.93
01/15/2026,WAL-MART SUPERCENTERLAKE PARK           FL,14.56
01/15/2026,WALMART.COM         WALMART.COM         AR,17.03
01/09/2026,MOBILE PAYMENT - THANK YOU,-128.83
01/09/2026,WALMART.COM         WALMART.COM         AR,3.18
