Date,Description,Amount
01/30/2026,$120 Disney Streaming Credit,-5.65
01/30/2026,DISNEY PLUS         BURBANK             CA,5.65
01/26/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
01/26/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
01/26/2026,AplPay PUBLIX #2021 PALM BEACH GA       FL,10.26
01/20/2026,AplPay SPICE OF INDIWEST PALM BEA       FL,97.87
01/19/2026,AplPay ALDI 77013 77LAKE PARK           FL,14.20
01/13/2026,AplPay FOODTOWN 0000WEST PALM BEACH     FL,18.26
01/09/2026,AplPay SPICE OF INDIWEST PALM BEA       FL,7.34
01/09/2026,AplPay SPICE OF INDIWEST PALM BEA       FL,37.20
01/08/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
01/08/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
01/08/2026,AplPay PUBLIX #2021 PALM BEACH GA       FL,5.29
01/07/2026,AplPay ALDI 77013 77LAKE PARK           FL,1.95
01/07/2026,AplPay ALDI 77013 77LAKE PARK           FL,12.77
01/05/2026,AplPay ALDI 77013 77LAKE PARK           FL,22.65
01/05/2026,ONLINE PAYMENT - THANK YOU,-282.76
01/03/2026,AplPay ALDI 77013 77LAKE PARK           FL,11.14
01/03/2026,AplPay ROSS STORES #PALM BCH GDNS       FL,-17.11
