Date,Description,Amount
01/24/2026,FRONTIER AI FYSSPY DENVER CO,285.84
01/24/2026,FRONTIER AI SCZEGI DENVER CO,472.14
01/20/2026,Popeyes 04549 Riviera BeachFL,13.84
01/17/2026,McDonalds 5498 NORTH PALM BEFL,7.29
01/16/2026,ONLINE/MOBILE PAYMENT CONF#17on94pch,-500.0
01/14/2026,D30632624 180-072-2008 FL,58.2
01/13/2026,ACI*BARTOW SPEED 866-790-4111 AZ,158.0
01/13/2026,ACI*BARTOW SPEED SF 866-790-4111 AZ,7.9
01/10/2026,Cinemark Plano TX,12.77
01/10/2026,CINEMARK 1050 ONLINE Davie FL,115.29
01/09/2026,ONLINE/MOBILE PAYMENT CONF#1mzbui700,-35.0
01/09/2026,RESTAURANT W CULINARY D-WHAVERHILL FL,15.35
01/08/2026,EL CAR WASH NORTHLAKE 866-3045329 FL,32.1
