Date,Description,Amount
01/28/2026,POPEYES 04549 RIVIERA BEACHFL,6.12
01/09/2026,ONLINE PAYMENT THANK YOU,-76.31
01/08/2026,DOMINO'S 5062 NORTH PALM BEFL,11.76
01/07/2026,BILTPROTECT RENT ACH CREDIT,-2498.3
01/06/2026,POPEYES 04549 RIVIERA BEACHFL,1.07
01/06/2026,POPEYES 04549 RIVIERA BEACHFL,11.18
01/06/2026,BPS*BILT RENT NEW YORK NY,2498.3
01/05/2026,FREEPRINTS 8772488906 CA,0.01
01/03/2026,BURGER KING #4451 Q07 RIVIERA BEACHFL,10.31
01/03/2026,BURGER KING #4451 Q07 RIVIERA BEACHFL,5.53
