Date,Description,Amount
01/28/2026,COSTCO WHSE #0093 PALM BEACH GAFL,29.54
01/27/2026,PLAN FEE - CITI FLEX PLAN 06,0.0
01/27/2026,PLAN FEE - CITI FLEX PLAN 07,0.0
01/27/2026,PLAN FEE - CITI FLEX PLAN 08,0.0
01/26/2026,AIRBNB * HMKYTEZZJA AIRBNB.COM CA,1595.32
01/26/2026,COSTCO GAS #0093 PALM BEACH GAFL,29.62
01/25/2026,Popeyes 04549 Riviera BeachFL,46.86
01/25/2026,COSTCO WHSE #0093 PALM BEACH GAFL,33.01
01/24/2026,COSTCO WHSE #1717 STUART FL,22.39
01/22/2026,COSTCO WHSE #0093 PALM BEACH GAFL,-80.24
01/22/2026,COSTCO WHSE #0093 PALM BEACH GAFL,51.84
01/18/2026,COSTCO WHSE #0093 PALM BEACH GAFL,16.56
01/17/2026,COSTCO WHSE #0093 PALM BEACH GAFL,20.92
01/15/2026,COSTCO GAS #0093 PALM BEACH GAFL,24.65
01/09/2026,"ONLINE PAYMENT, THANK YOU",-150.61
01/09/2026,COSTCO WHSE #0093 PALM BEACH GAFL,11.9
01/09/2026,COSTCO GAS #0093 PALM BEACH GAFL,18.86
01/06/2026,COSTCO WHSE #0093 PALM BEACH GAFL,16.9
01/03/2026,COSTCO WHSE #0093 PALM BEACH GAFL,-7.46
01/03/2026,COSTCO WHSE #0093 PALM BEACH GAFL,12.07
01/02/2026,COSTCO GAS #0093 PALM BEACH GAFL,30.24
