Date,Description,Amount
07/31/2026,AMAZON MARKEPLACE NA PA,7.43
07/31/2026,AMAZON.COM          AMZN.COM/BILL       WA,43.30
07/29/2026,WALMART.COM 80092562BENTONVILLE         AR,18.51
07/28/2026,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-15.96
07/28/2026,AMAZON MARKEPLACE NA PA,55.94
07/26/2026,WAL-MART SUPERCENTERCLEVELAND           OH,-6.71
07/25/2026,SAM'S CLUB 6305 6305BROOKLYN            OH,-4.48
07/25/2026,SAM'S CLUB FUEL 6406NIAGARA FALLS       NY,45.56
07/25/2026,WAL-MART SUPERCENTERCLEVELAND           OH,-52.73
07/25/2026,WAL-MART SUPERCENTERCLEVELAND           OH,8.54
07/25/2026,WAL-MART SUPERCENTERNIAGARA FALLS       NY,-84.14
07/25/2026,WAL-MART SUPERCENTERNIAGARA FALLS       NY,-0.94
07/24/2026,SAM'S CLUB 6406 6406NIAGARA FALLS       NY,42.89
07/24/2026,WAL-MART SUPERCENTERNIAGARA FALLS       NY,75.79
07/22/2026,WAL-MART SUPERCENTERLAKE PARK           FL,84.14
07/20/2026,AMAZON MARKEPLACE NA PA,36.98
07/18/2026,SAM'S CLUB 8157 8157W. PALM BEACH       FL,7.71
07/17/2026,WAL-MART SUPERCENTERLAKE PARK           FL,-2.10
07/16/2026,AMAZON MARKEPLACE NA PA,7.42
07/13/2026,AplPay SHEIN.COM 000NEW YORK            NY,31.86
07/12/2026,SAM'S CLUB 8157 8157W. PALM BEACH       FL,21.31
07/08/2026,WAL-MART SUPERCENTERLAKE PARK           FL,2.10
07/08/2026,WAL-MART SUPERCENTERLAKE PARK           FL,27.68
07/02/2026,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-9.04
07/02/2026,MOBILE PAYMENT - THANK YOU,-185.76
07/01/2026,HOBBY LOBBY #795 000WEST PALM BEA       FL,10.94
