Date,Description,Amount
07/30/2026,AplPay SPICE OF INDIWEST PALM BEA       FL,12.03
07/30/2026,AplPay SPICE OF INDIWEST PALM BEA       FL,31.45
07/30/2026,AplPay SPICE OF INDIWEST PALM BEA       FL,71.07
07/29/2026,AplPay ALDI 77013 77LAKE PARK           FL,15.87
07/29/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
07/29/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
07/29/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
07/28/2026,$120 Disney Streaming Credit,-5.54
07/28/2026,DISNEY PLUS         BURBANK             CA,5.54
07/27/2026,AplPay MANGO TREE SUWEST PALM BEACH     FL,32.28
07/22/2026,AplPay ALDI 77013 77LAKE PARK           FL,16.91
07/21/2026,AplPay ALDI 77013 77LAKE PARK           FL,2.93
07/21/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
07/21/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
07/21/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
07/18/2026,AplPay MANGO TREE SUWEST PALM BEACH     FL,17.63
07/18/2026,AplPay PUBLIX #2021 PALM BEACH GA       FL,20.58
07/17/2026,RENEWAL MEMBERSHIP FEE,95.00
07/15/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
07/15/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
07/15/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
07/10/2026,AplPay PUBLIX #2021 PALM BEACH GA       FL,75.00
07/09/2026,AplPay SPICE OF INDIWEST PALM BEA       FL,12.32
07/09/2026,AplPay SPICE OF INDIWEST PALM BEA       FL,56.27
07/08/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
07/08/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
07/08/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
07/06/2026,AplPay MANGO TREE SUWEST PALM BEACH     FL,31.06
07/06/2026,MOBILE PAYMENT - THANK YOU,-319.85
07/05/2026,AplPay FIVE BELOW 92PALM BEACH GA       FL,-10.65
07/03/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
07/03/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
07/03/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
07/02/2026,AplPay ALDI 77013 77LAKE PARK           FL,24.21
07/01/2026,AplPay ALDI 77013 77LAKE PARK           FL,11.65
