Date,Description,Amount
07/31/2026,COSTCO GAS #0093 PALM BEACH GAFL,41.02
07/31/2026,COSTCO WHSE #0093 PALM BEACH GAFL,20.49
07/27/2026,PLAN FEE - CITI FLEX PLAN 04,0.0
07/27/2026,PLAN FEE - CITI FLEX PLAN 06,0.0
07/27/2026,PLAN FEE - CITI FLEX PLAN 12,0.0
07/27/2026,PLAN FEE - CITI FLEX PLAN 13,0.0
07/27/2026,PLAN FEE - CITI FLEX PLAN 14,0.0
07/27/2026,PLAN FEE - CITI FLEX PLAN 15,0.0
07/27/2026,PLAN FEE - CITI FLEX PLAN 16,0.0
07/26/2026,SAMSCLUB #6305 CLEVELAND OH,58.72
07/22/2026,COSTCO WHSE #0093 PALM BEACH GAFL,25.25
07/19/2026,COSTCO WHSE #0180 LANTANA FL,8.52
07/19/2026,COSTCO WHSE #0180 LANTANA FL,27.56
07/19/2026,COSTCO WHSE #0180 LANTANA FL,31.98
07/19/2026,COSTCO GAS #0093 PALM BEACH GAFL,40.63
07/18/2026,COSTCO WHSE #0088 POMPANO BEACHFL,9.08
07/18/2026,COSTCO WHSE #0088 POMPANO BEACHFL,37.18
07/16/2026,COSTCO WHSE #0093 PALM BEACH GAFL,71.97
07/15/2026,"ONLINE PAYMENT, THANK YOU",-905.86
07/13/2026,COSTCO WHSE #0093 PALM BEACH GAFL,-25.5
07/13/2026,COSTCO GAS #0093 PALM BEACH GAFL,39.92
07/13/2026,COSTCO WHSE #0093 PALM BEACH GAFL,52.3
07/10/2026,CITI FLEX PAY CREDIT-COSTCO WHSE #0093 P,-87.2
07/10/2026,COSTCO WHSE #0093 PALM BEACH GAFL,87.2
07/10/2026,CITI FLEX PAY,87.2
07/05/2026,COSTCO WHSE #0093 PALM BEACH GAFL,-7.44
07/05/2026,COSTCO WHSE #0093 PALM BEACH GAFL,9.1
07/05/2026,COSTCO WHSE #0093 PALM BEACH GAFL,10.6
07/04/2026,CITY OF WPB PARKING GARAGWEST PALM BEAFL,10.0
07/02/2026,COSTCO GAS #0093 PALM BEACH GAFL,23.54
07/02/2026,COSTCO WHSE #0093 PALM BEACH GAFL,61.15
