Date,Description,Amount
07/31/2026,ED MORSE HONDA RIVIERA BEACH FL,96.48
07/27/2026,TST* PARADISE BIRYANI PARMA OH,82.0
07/26/2026,Popeyes Louisiana Kitc North Olmstea OH null XXXXXXXXXXXX0289,26.99
07/26/2026,CUYAHOGA VALLEY SCENIC PENINSULA OH,120.0
07/26/2026,ALAMO RENT-A-CAR RENTA CLEVELAND OH PHONE NUMBER: 8448063353 NAME: DEEPANRAJ PARAMASIVA PICKUP: 07/24/2026 RETURN: CLEVELANDOH07/26/2026 AGREEMENT NUMBER: 869635703,307.4
07/25/2026,SAMS CLUB #6305 CLEVELAND OH,1.5
07/25/2026,Hotel at Booking.com New York NY null XXXXXXXXXXXX0289,173.89
07/24/2026,NIAGARA FALLS POS4 NIAGARA FALLS NY,15.0
07/24/2026,NIAGARA FALLS STATE PA NIAGARA FALLS NY,23.0
07/24/2026,NIAGARA FALLS STATE PA NIAGARA FALLS NY,111.0
07/24/2026,MAID OF THE MIST CORPO NIAGARA FALLS NY,140.75
07/23/2026,CAVU* APRCARPARKING CHICAGO IL,-6.48
07/23/2026,CAVU* APRCARPARKING CHICAGO IL,38.54
07/21/2026,"Hotel at Booking.com Wilmington, N DE null XXXXXXXXXXXX0289",-142.16
07/21/2026,CAVU* APRCARPARKING CHICAGO IL,-31.54
07/20/2026,"Hotel at Booking.com Wilmington, N DE null XXXXXXXXXXXX0289",142.16
07/20/2026,FRONTIERNM2D4U DENVER CONAME: PARAMASIVAM/D DEPART:07/23/2026 CLE TO FLL: F9: CLASS:Z : STOP: O FLL TO CLE: F9: CLASS:Z : STOP: X,79.0
07/18/2026,DUNKIN #310288 WEST PALM BEA FL null XXXXXXXXXXXX0289,6.92
07/15/2026,CAVU* APRCARPARKING CHICAGO IL,38.04
07/11/2026,DOMINO'S 3836 NORTH PALM BE FL null XXXXXXXXXXXX0289,10.64
