Date,Description,Amount
06/26/2026,AMAZON MARKEPLACE NA PA,9.04
06/25/2026,BJS.COM #5490 000005MARLBOROUGH         MA,83.01
06/25/2026,WALMART.COM         WALMART.COM         AR,-7.46
06/22/2026,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-25.42
06/22/2026,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-8.50
06/22/2026,SAM'S CLUB 8157 8157W. PALM BEACH       FL,80.51
06/22/2026,WAL-MART SUPERCENTERWEST PALM BEACH     FL,13.47
06/19/2026,WALMART.COM         WALMART.COM         AR,8.65
06/19/2026,WALMART.COM         WALMART.COM         AR,8.65
06/18/2026,AMAZON MARKEPLACE NA PA,10.64
06/18/2026,WALMART.COM         WALMART.COM         AR,7.46
06/15/2026,AMAZON MARKEPLACE NA PA,15.96
06/11/2026,AMAZON MARKEPLACE NA PA,21.29
06/11/2026,WAL-MART SUPERCENTERLAKE PARK           FL,4.96
06/10/2026,AMAZON MARKEPLACE NA PA,8.50
06/05/2026,ONLINE PAYMENT - THANK YOU,-217.75
06/04/2026,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-21.29
06/04/2026,AMAZON MARKEPLACE NA PA,1.91
06/03/2026,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-14.90
06/03/2026,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-9.57
06/03/2026,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-5.85
06/03/2026,AMAZON MARKEPLACE NA PA,7.98
06/02/2026,AMAZON MARKEPLACE NA PA,21.29
