Date,Description,Amount
06/30/2026,AplPay PUBLIX #2021 PALM BEACH GA       FL,8.53
06/28/2026,$120 Disney Streaming Credit,-5.54
06/28/2026,AplPay ALDI 77013 77LAKE PARK           FL,11.16
06/28/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
06/28/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
06/28/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
06/28/2026,AplPay PUBLIX #2021 PALM BEACH GA       FL,8.29
06/28/2026,DISNEY PLUS         BURBANK             CA,5.54
06/26/2026,AplPay SPICE OF INDIWEST PALM BEA       FL,44.33
06/26/2026,AplPay SPICE OF INDIWEST PALM BEA       FL,53.87
06/24/2026,AplPay TARGET T-1941LAKE PARK           FL,10.68
06/21/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
06/21/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
06/21/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
06/19/2026,AplPay ALDI 77013 77LAKE PARK           FL,5.86
06/18/2026,AplPay SPICE OF INDIWEST PALM BEA       FL,61.97
06/16/2026,AplPay ALDI 77013 77LAKE PARK           FL,15.18
06/15/2026,AplPay PUBLIX #2021 PALM BEACH GA       FL,10.88
06/14/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
06/14/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
06/14/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
06/10/2026,MOBILE PAYMENT - THANK YOU,-445.75
06/08/2026,AplPay ALDI 77013 77LAKE PARK           FL,14.33
06/01/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
06/01/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
06/01/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
06/01/2026,AplPay SPICE OF INDIWEST PALM BEA       FL,24.04
06/01/2026,AplPay SPICE OF INDIWEST PALM BEA       FL,37.53
