Date,Description,Amount
06/28/2026,COSTCO WHSE #0093 PALM BEACH GAFL,-10.65
06/28/2026,COSTCO WHSE #0093 PALM BEACH GAFL,52.18
06/27/2026,CHEVRON 0302960 PALM BEACH GAFL,5.87
06/27/2026,U-HAUL OF NORTH PALM BEACPALM BEACH GAFL,66.82
06/25/2026,PLAN FEE - CITI FLEX PLAN 06,0.0
06/25/2026,PLAN FEE - CITI FLEX PLAN 10,0.0
06/25/2026,PLAN FEE - CITI FLEX PLAN 12,0.0
06/25/2026,PLAN FEE - CITI FLEX PLAN 13,0.0
06/25/2026,PLAN FEE - CITI FLEX PLAN 14,0.0
06/25/2026,PLAN FEE - CITI FLEX PLAN 15,0.0
06/25/2026,PLAN FEE - CITI FLEX PLAN 16,0.0
06/24/2026,COSTCO WHSE #0093 PALM BEACH GAFL,1.6
06/24/2026,COSTCO GAS #0093 PALM BEACH GAFL,38.35
06/24/2026,COSTCO WHSE #0093 PALM BEACH GAFL,43.32
06/22/2026,COSTCO WHSE #0093 PALM BEACH GAFL,40.06
06/21/2026,COSTCO WHSE #0093 PALM BEACH GAFL,14.66
06/20/2026,MARATHON 263707 TAMPA FL,38.62
06/16/2026,CITI FLEX PAY CREDIT-COSTCO WHSE #0093 P,-119.9
06/16/2026,COSTCO GAS #0093 PALM BEACH GAFL,35.27
06/16/2026,COSTCO WHSE #0093 PALM BEACH GAFL,119.9
06/16/2026,CITI FLEX PAY,119.9
06/15/2026,"ONLINE PAYMENT, THANK YOU",-1365.61
06/15/2026,MIA PARKING MIAMI FL,8.0
06/15/2026,COSTCO GAS #0093 PALM BEACH GAFL,20.44
06/14/2026,COSTCO WHSE #0093 PALM BEACH GAFL,-59.22
06/14/2026,COSTCO WHSE #0093 PALM BEACH GAFL,18.88
06/13/2026,CITI FLEX PAY CREDIT-COSTCO WHSE #0093 P,-77.66
06/13/2026,COSTCO WHSE #0093 PALM BEACH GAFL,77.66
06/13/2026,CITI FLEX PAY,77.66
06/11/2026,COSTCO WHSE #0093 PALM BEACH GAFL,3.72
06/11/2026,COSTCO WHSE #0093 PALM BEACH GAFL,51.74
06/09/2026,COSTCO WHSE #0093 PALM BEACH GAFL,25.5
06/09/2026,COSTCO GAS #0093 PALM BEACH GAFL,35.02
06/05/2026,COSTCO WHSE #0093 PALM BEACH GAFL,11.7
06/04/2026,COSTCO WHSE #0093 PALM BEACH GAFL,46.06
06/04/2026,COSTCO WHSE #0093 PALM BEACH GAFL,54.08
06/03/2026,EXXON ALTON GAS PALM BEACH GAFL,1.17
