Date,Description,Amount
06/26/2026,GEICO *AUTO WASHINGTON DC,703.12
06/26/2026,DOMINO'S 3879 WEST PALM BEA FL null XXXXXXXXXXXX0289,13.82
06/23/2026,"ONLINE PAYMENT, THANK YOU",-2390.42
06/20/2026,TST*HH - TAMPA Tampa FL null XXXXXXXXXXXX0289,53.15
06/15/2026,MIA PARKING MIAMI FL,8.0
06/15/2026,MEMBERSHIP FEE JUN 26-MAY 27,95.0
06/13/2026,D35651341 18007220081 FL,19.94
06/07/2026,McDonalds 28730 PALM BEACH GA FL null XXXXXXXXXXXX0289,7.26
06/04/2026,DOMINO'S 3879 WEST PALM BEA FL null XXXXXXXXXXXX0289,11.18
06/03/2026,THE HOME DEPOT #3117 PALM BCH GRNS FL,-126.91
06/02/2026,Popeyes 15694 Palm Beach Ga FL null XXXXXXXXXXXX0289,6.39
06/02/2026,THE HOME DEPOT #3117 PALM BCH GRNS FL,150.0
06/01/2026,FRONTIERNM2D4U DENVER CONAME: PARAMASIVAM/D DEPART:07/23/2026 CLE TO FLL: F9: CLASS:Z : STOP: O FLL TO CLE: F9: CLASS:Z : STOP: X,204.8
