Date,Description,Amount
03/31/2026,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-21.29
03/31/2026,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-18.09
03/31/2026,WALMART.COM         WALMART.COM         AR,13.80
03/30/2026,AMAZON MARKEPLACE NA PA,6.33
03/30/2026,WALMART.COM         WALMART.COM         AR,4.86
03/29/2026,AMAZON MARKEPLACE NA PA,10.64
03/25/2026,AMAZON MARKEPLACE NA PA,15.96
03/25/2026,AMAZON.COM          AMZN.COM/BILL       WA,23.08
03/20/2026,AMAZON MARKEPLACE NA PA,13.29
03/19/2026,MOBILE PAYMENT - THANK YOU,-86.41
03/18/2026,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-18.09
03/18/2026,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-15.98
03/18/2026,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-15.96
03/18/2026,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-15.96
03/18/2026,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-9.16
03/18/2026,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-9.03
03/18/2026,AMAZON.COM          AMZN.COM/BILL       WA,5.43
03/12/2026,AMAZON MARKEPLACE NA PA,13.83
03/10/2026,AMAZON MARKEPLACE NA PA,9.03
03/10/2026,AMAZON MARKEPLACE NA PA,9.16
03/08/2026,WALMART.COM         WALMART.COM         AR,1.60
03/06/2026,AMAZON MARKEPLACE NA PA,47.90
03/05/2026,AMAZON MARKEPLACE NA PA,12.75
