Date,Description,Amount
03/29/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
03/29/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
03/28/2026,$120 Disney Streaming Credit,-5.54
03/28/2026,AplPay ALDI 77013 77LAKE PARK           FL,5.06
03/28/2026,AplPay ALDI 77013 77LAKE PARK           FL,12.49
03/28/2026,AplPay FOODTOWN 0000WEST PALM BEACH     FL,20.95
03/28/2026,DISNEY PLUS         BURBANK             CA,5.54
03/25/2026,"AplPay SUSHEELA, INCWEST PALM BEA       FL",48.15
03/24/2026,AplPay ALDI 77013 77LAKE PARK           FL,15.88
03/23/2026,AplPay ALDI 77013 77LAKE PARK           FL,8.60
03/22/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
03/22/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
03/22/2026,AplPay PUBLIX #2021 PALM BEACH GA       FL,25.00
03/18/2026,MOBILE PAYMENT - THANK YOU,-746.51
03/15/2026,AplPay PUBLIX #2021 PALM BEACH GA       FL,10.29
03/14/2026,AplPay LE INDYA FINENAPLES              FL,136.34
03/13/2026,AplPay ALDI 77013 77LAKE PARK           FL,21.92
03/12/2026,IXL LEARNING FAMILY SAN MATEO,-28.90
03/11/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
03/11/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
03/10/2026,AplPay ALDI 77013 77LAKE PARK           FL,17.39
03/10/2026,IXL FAMILY SUBSCRIPT650-372-4040        CA,289.00
03/07/2026,AplPay SPICE OF INDIWEST PALM BEA       FL,9.54
03/07/2026,AplPay SPICE OF INDIWEST PALM BEA       FL,17.60
03/07/2026,AplPay SPICE OF INDIWEST PALM BEA       FL,37.85
03/07/2026,AplPay SPICE OF INDIWEST PALM BEA       FL,40.65
03/07/2026,AplPay SPICE OF INDIWEST PALM BEA       FL,41.46
03/05/2026,MOBILE PAYMENT - THANK YOU,-338.73
03/03/2026,AplPay ALDI 77013 77LAKE PARK           FL,18.19
03/02/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
03/02/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
03/02/2026,AplPay PUBLIX       WEST PALM BEACH     FL,10.29
03/01/2026,AplPay FIVE BELOW 62POMPANO BEACH       FL,1.07
03/01/2026,AplPay FIVE BELOW 62POMPANO BEACH       FL,5.35
