Date,Description,Amount
03/30/2026,COSTCO WHSE #0093 PALM BEACH GAFL,-15.91
03/30/2026,COSTCO WHSE #0093 PALM BEACH GAFL,25.39
03/29/2026,COSTCO WHSE #0093 PALM BEACH GAFL,44.95
03/28/2026,WWW COSTCO COM 800-955-2292 WA,15.96
03/27/2026,COSTCO GAS #0093 PALM BEACH GAFL,42.32
03/27/2026,WWW COSTCO COM 800-955-2292 WA,10.62
03/26/2026,PLAN FEE - CITI FLEX PLAN 04,0.0
03/26/2026,PLAN FEE - CITI FLEX PLAN 05,0.0
03/26/2026,PLAN FEE - CITI FLEX PLAN 07,0.0
03/26/2026,PLAN FEE - CITI FLEX PLAN 08,0.0
03/26/2026,PLAN FEE - CITI FLEX PLAN 09,0.0
03/24/2026,BUSCH GARDENS ORLANDO FL,43.0
03/23/2026,COSTCO WHSE #0093 PALM BEACH GAFL,-372.74
03/23/2026,COSTCO WHSE #0093 PALM BEACH GAFL,23.15
03/21/2026,COSTCO WHSE #0093 PALM BEACH GAFL,66.87
03/17/2026,COSTCO WHSE #0093 PALM BEACH GAFL,55.29
03/15/2026,COSTCO WHSE #0093 PALM BEACH GAFL,16.88
03/15/2026,COSTCO GAS #0093 PALM BEACH GAFL,20.06
03/14/2026,COSTCO GAS #0354 NAPLES FL,25.26
03/13/2026,CITI FLEX PAY CREDIT-COSTCO WHSE #0093 P,-75.66
03/13/2026,COSTCO GAS #0093 PALM BEACH GAFL,27.8
03/13/2026,COSTCO WHSE #0093 PALM BEACH GAFL,75.66
03/13/2026,CITI FLEX PAY,75.66
03/06/2026,CITI FLEX PAY CREDIT-COSTCO WHSE #0093 P,-85.92
03/06/2026,COSTCO GAS #0093 PALM BEACH GAFL,35.01
03/06/2026,COSTCO WHSE #0093 PALM BEACH GAFL,85.92
03/06/2026,CITI FLEX PAY,85.92
03/05/2026,"ONLINE PAYMENT, THANK YOU",-432.54
03/01/2026,COSTCO WHSE #0088 POMPANO BEACHFL,25.87
