Date,Description,Amount
05/25/2026,SUNPASS*ACC121623655888-865-5352        FL,10.00
05/18/2026,Amazon Prime        Amazon.com          WA,2.01
05/17/2026,SUNPASS*ACC121623655888-865-5352        FL,10.00
05/14/2026,MOBILE PAYMENT - THANK YOU,-123.97
05/12/2026,AplPay TARGET.COM   BROOKLYN PARK       MN,-12.91
05/12/2026,AplPay TARGET.COM   BROOKLYN PARK       MN,-3.99
05/12/2026,AplPay TARGET.COM   BROOKLYN PARK       MN,-2.94
05/07/2026,AplPay TARGET.COM   BROOKLYN PARK       MN,5.00
05/07/2026,AplPay TARGET.COM   BROOKLYN PARK       MN,19.16
05/07/2026,AplPay TARGET.COM   BROOKLYN PARK       MN,24.99
