Date,Description,Amount
05/31/2026,WALMART.COM         WALMART.COM         AR,-2.37
05/30/2026,WAL-MART SUPERCENTERLAKE PARK           FL,-37.93
05/30/2026,WALMART.COM         WALMART.COM         AR,42.04
05/30/2026,WALMART.COM 80092562BENTONVILLE         AR,21.28
05/28/2026,Amazon Prime        Amazon.com          WA,-15.13
05/27/2026,WALMART.COM         WALMART.COM         AR,4.74
05/25/2026,Amazon Prime        Amazon.com          WA,15.13
05/21/2026,AMAZON MARKEPLACE NA PA,9.03
05/20/2026,AMAZON MARKEPLACE NA PA,2.65
05/19/2026,AMAZON MARKEPLACE NA PA,5.85
05/19/2026,AMAZON MARKEPLACE NA PA,9.57
05/19/2026,AMAZON MARKEPLACE NA PA,25.42
05/19/2026,WALMART.COM 80092562BENTONVILLE         AR,5.29
05/18/2026,AMAZON MARKEPLACE NA PA,36.19
05/15/2026,AMAZON.COM          AMZN.COM/BILL       WA,-73.49
05/13/2026,AMAZON MARKEPLACE NA PA,5.31
05/11/2026,AplPay CHICK-FIL-A #LAKE PARK           FL,6.49
05/11/2026,WAL-MART SUPERCENTERLAKE PARK           FL,4.49
05/11/2026,WALMART.COM         WALMART.COM         AR,93.66
05/07/2026,AMAZON MARKEPLACE NA PA,15.96
05/05/2026,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-10.64
05/05/2026,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-10.64
05/02/2026,AMAZON MARKEPLACE NA PA,14.90
05/02/2026,WALMART.COM         WALMART.COM         AR,37.93
