Date,Description,Amount
05/31/2026,AplPay ALDI 77013 77LAKE PARK           FL,20.91
05/28/2026,$120 Disney Streaming Credit,-5.54
05/28/2026,AplPay PUBLIX #2021 PALM BEACH GA       FL,7.90
05/28/2026,AplPay PUBLIX #2021 PALM BEACH GA       FL,8.75
05/28/2026,DISNEY PLUS         BURBANK             CA,5.54
05/26/2026,AplPay ALDI 77013 77LAKE PARK           FL,15.05
05/26/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
05/25/2026,AplPay TST* BAWARCHIORLANDO             FL,122.09
05/24/2026,AplPay PATEL BROTHERORLANDO             FL,23.22
05/21/2026,AplPay SPICE OF INDIWEST PALM BEA       FL,20.04
05/19/2026,AplPay ALDI 77013 77LAKE PARK           FL,10.21
05/15/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
05/15/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
05/15/2026,AplPay PUBLIX #2021 PALM BEACH GA       FL,8.02
05/13/2026,AplPay ALDI 77013 77LAKE PARK           FL,5.47
05/12/2026,AplPay ALDI 77013 77LAKE PARK           FL,16.77
05/11/2026,AplPay PUBLIX #2021 PALM BEACH GA       FL,2.44
05/06/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
05/06/2026,AplPay NYX=PRIMO WATHUNT VALLEY         MD,0.70
05/05/2026,AplPay ALDI 77013 77LAKE PARK           FL,19.19
05/04/2026,MOBILE PAYMENT - THANK YOU,-242.28
