Date,Description,Amount
05/29/2026,COSTCO GAS #0093 PALM BEACH GAFL,46.21
05/29/2026,COSTCO WHSE #0093 PALM BEACH GAFL,28.28
05/27/2026,PLAN FEE - CITI FLEX PLAN 10,0.0
05/27/2026,PLAN FEE - CITI FLEX PLAN 12,0.0
05/27/2026,PLAN FEE - CITI FLEX PLAN 13,0.0
05/27/2026,PLAN FEE - CITI FLEX PLAN 14,0.0
05/27/2026,PLAN FEE - CITI FLEX PLAN 15,0.0
05/24/2026,CITI FLEX PAY CREDIT-COSTCO WHSE #651 OR,-121.1
05/24/2026,COSTCO GAS #651 S ORLAND ORLANDO FL,36.35
05/24/2026,COSTCO WHSE #651 ORLANDO FL,121.1
05/24/2026,CITI FLEX PAY,121.1
05/23/2026,DOMINO'S 5049 407-852-9595 FL,10.64
05/23/2026,KELLY PARK TIKI HUT APOPKA FL,5.0
05/22/2026,COSTCO WHSE #0093 PALM BEACH GAFL,-10.62
05/22/2026,COSTCO WHSE #0093 PALM BEACH GAFL,-13.83
05/22/2026,COSTCO WHSE #0093 PALM BEACH GAFL,7.42
05/22/2026,COSTCO GAS #0093 PALM BEACH GAFL,19.21
05/22/2026,COSTCO WHSE #0093 PALM BEACH GAFL,52.16
05/20/2026,BKG*HOTEL AT BOOKING.C 147-036-3250 NY,267.3
05/19/2026,CITI FLEX PAY CREDIT-COSTCO WHSE #0093 P,-100.6
05/19/2026,COSTCO WHSE #0093 PALM BEACH GAFL,5.84
05/19/2026,COSTCO WHSE #0093 PALM BEACH GAFL,100.6
05/19/2026,CITI FLEX PAY,100.6
05/17/2026,CITI FLEX PAY CREDIT-COSTCO WHSE #0093 P,-102.49
05/17/2026,CITI FLEX PAY,102.49
05/17/2026,COSTCO GAS #0093 PALM BEACH GAFL,47.16
05/17/2026,COSTCO WHSE #0093 PALM BEACH GAFL,102.49
05/16/2026,PANDA EXPRESS #3007 PALM BEACH GAFL,10.77
05/15/2026,DOMINO'S 5062 561-826-0883 FL,14.88
05/15/2026,DOMINO'S 5062 561-826-0883 FL,20.2
05/15/2026,DOMINO'S 5062 561-826-0883 FL,26.58
05/15/2026,Popeyes 04549 Riviera BeachFL,60.67
05/14/2026,"ONLINE PAYMENT, THANK YOU",-793.02
05/10/2026,COSTCO WHSE #0093 PALM BEACH GAFL,20.37
05/09/2026,COSTCO WHSE #0093 PALM BEACH GAFL,-7.42
05/09/2026,THE HOME DEPOT #0220 LAKE PARK FL,-129.76
05/09/2026,COSTCO WHSE #0093 PALM BEACH GAFL,30.67
05/09/2026,COSTCO GAS #0093 PALM BEACH GAFL,50.54
05/07/2026,THE HOME DEPOT #0220 LAKE PARK FL,150.0
05/06/2026,Popeyes 15694 Palm Beach GaFL,10.65
05/06/2026,COSTCO WHSE #0093 PALM BEACH GAFL,10.44
05/02/2026,COSTCO WHSE #0623 ROYAL PALM BEFL,70.73
05/01/2026,COSTCO WHSE #0093 PALM BEACH GAFL,12.3
