Month,CardName,MainCategory,Category,Description,Amount,Comment
2025-01,Amex_Bharu,Grocery,SAMS,SAM'S CLUB 8157 8157W. PALM BEACH       FL,44.31,
2025-01,Amex_Bharu,Shopping,Walmart,WAL-MART SUPERCENTERLAKE PARK           FL,37.67,
2025-01,Amex_Bharu,Shopping,Walmart,WALMART.COM         WALMART.COM         AR,16.02,
2025-01,Amex_Blue_Cash,Shopping,Amazon,AMAZON MARKEPLACE NA PA,8.16,
2025-01,Amex_Blue_Cash,Shopping,Amazon,AMAZON.COM          AMZN.COM/BILL       WA,14.43,
2025-01,Amex_Blue_Cash,Shopping,Temu,TEMU.COM            TEMU.COM            DE,18.41,
2025-01,Amex_Preferred,Grocery,ALDI,AplPay ALDI 77013 00LAKE PARK           FL,57.31,
2025-01,Amex_Preferred,Grocery,FoodTown,AplPay FOODTOWN OF NWEST PALM BEACH     FL,168.51000000000002,
2025-01,Amex_Preferred,Grocery,Publix,AplPay PUBLIX       WEST PALM BEACH     FL,257.65,
2025-01,Amex_Preferred,Grocery,Spice of India,AplPay SPICE OF INDIWEST PALM BEA       FL,57.25,
2025-01,Citi_Costco,Food,IceCream,TST* SLOAN'S ICE CREAM - WEST PALM BEAFL,11.69,
2025-01,Citi_Costco,Gas,Gas Station,COSTCO GAS #0093 PALM BEACH GAFL,96.08,
2025-02,Amex_Bharu,Food,BurgerKing,AplPay BURGER KING #LAKE WORTH          FL,5.51,
2025-02,Amex_Bharu,Grocery,SAMS,SAM'S CLUB 8157 8157W. PALM BEACH       FL,51.08,
2025-02,Amex_Bharu,Shopping,Amazon,AMAZON MARKEPLACE NA PA,15.920000000000002,
2025-02,Amex_Bharu,Shopping,Amazon,AMAZON.COM          AMZN.COM/BILL       WA,2.43,
2025-02,Amex_Bharu,Shopping,Walmart,WAL-MART SUPERCENTERLAKE PARK           FL,66.58,
2025-02,Amex_Bharu,Shopping,Walmart,WALMART.COM         WALMART.COM         AR,6.42,
2025-02,Amex_Bharu,Shopping,Walmart,WALMART.COM 80092562BENTONVILLE         AR,9.97,
2025-02,Amex_Preferred,Grocery,ALDI,AplPay ALDI 77013 00LAKE PARK           FL,35.93,
2025-02,Amex_Preferred,Grocery,ALDI,AplPay ALDI 77013 77LAKE PARK           FL,31.23,
2025-02,Amex_Preferred,Grocery,Spice of India,AplPay SPICE OF INDIWEST PALM BEA       FL,236.62,
2025-02,Citi_Costco,Food,Panera,PANERA SIP CLUB 204707 O 330-856-3176 FL,16.04,
2025-02,Citi_Costco,Gas,Gas Station,COSTCO GAS #0093 PALM BEACH GAFL,91.63999999999999,
2025-02,Citi_Costco,Grocery,Costco,COSTCO WHSE #0093 PALM BEACH GAFL,213.23,
2025-02,Citi_Costco,Grocery,Costco,COSTCO WHSE #0345 BOCA RATON FL,21.78,
2025-03,Amex_Bharu,Grocery,SAMS,SAM'S CLUB 8157 8157W. PALM BEACH       FL,84.82000000000001,
2025-03,Amex_Bharu,Shopping,Amazon,AMAZON MARKEPLACE NA PA,169.56,
2025-03,Amex_Bharu,Shopping,Amazon,AMAZON.COM          AMZN.COM/BILL       WA,8.69,
2025-03,Amex_Bharu,Shopping,Shein,AplPay SHEIN.COM 000NEW YORK            NY,47.18,
2025-03,Amex_Bharu,Shopping,Walmart,WAL-MART SUPERCENTERLAKE PARK           FL,73.34,
2025-03,Amex_Bharu,Shopping,Walmart,WAL-MART SUPERCENTERWEST PALM BEACH     FL,69.77,
2025-03,Amex_Bharu,Shopping,Walmart,WALMART.COM         BENTONVILLE         AR,27.76,
2025-03,Amex_Bharu,Shopping,Walmart,WALMART.COM         WALMART.COM         AR,7.46,
2025-03,Amex_Bharu,Shopping,Walmart,WALMART.COM 80092562BENTONVILLE         AR,91.72,
2025-03,Amex_Blue_Cash,Shopping,Temu,TEMU.COM            WILMINGTON          DE,18.6,
2025-03,Amex_Blue_Cash,Shopping,Walmart,WAL-MART SUPERCENTERLAKE PARK           FL,26.32,
2025-03,Amex_Preferred,Grocery,ALDI,AplPay ALDI 77013 77LAKE PARK           FL,61.93,
2025-03,Amex_Preferred,Grocery,Publix,AplPay PUBLIX       WEST PALM BEACH     FL,80.0,
2025-03,Amex_Preferred,Grocery,Restaurant Depot,AplPay RESTAURANT DERIVIERA BEACH       FL,21.95,
2025-03,Amex_Preferred,Grocery,Spice of India,AplPay SPICE OF INDIWEST PALM BEA       FL,194.63,
2025-03,Amex_Preferred,Shopping,Amazon,AMAZON MARKEPLACE NA PA,11.76,
2025-03,Amex_Preferred,Shopping,Target,AplPay TARGET       LAKE PARK           FL,7.81,
2025-03,Amex_Preferred,Shopping,Walmart,WAL-MART SUPERCENTERLAKE PARK           FL,4.63,
2025-03,Amex_Preferred,Subscription,Streaming,WILLOW TV           MOUNTAIN VIEW       CA,9.99,
2025-03,Citi_Costco,Food,Thai,RICE AND NOODLE PALM BCH GDNSFL,23.29,
2025-03,Citi_Costco,Gas,Gas Station,COSTCO GAS #0093 PALM BEACH GAFL,61.42,
2025-03,Citi_Costco,Grocery,Costco,COSTCO WHSE #0093 PALM BEACH GAFL,330.28000000000003,
2025-03,Citi_Costco,Grocery,Costco,COSTCO WHSE #0180 LANTANA FL,11.74,
2025-03,Citi_Costco,Grocery,Restaurant Depot,BEDNERS FARM FRESH MARKETBOYNTON BEACHFL,2.53,
2025-04,Amex_Bharu,Grocery,SAMS,SAM'S CLUB 8157 8157W. PALM BEACH       FL,86.67,
2025-04,Amex_Bharu,Shopping,Amazon,AMAZON MARKEPLACE NA PA,21.89,
2025-04,Amex_Bharu,Shopping,Amazon,AMAZON.COM          AMZN.COM/BILL       WA,11.42,
2025-04,Amex_Bharu,Shopping,Walmart,WAL-MART SUPERCENTERLAKE PARK           FL,72.4,
2025-04,Amex_Bharu,Shopping,Walmart,WALMART.COM         WALMART.COM         AR,42.73,
2025-04,Amex_Bharu,Shopping,Walmart,WALMART.COM 80092562BENTONVILLE         AR,6.42,
2025-04,Amex_Blue_Cash,Shopping,Amazon,AMAZON.COM          AMZN.COM/BILL       WA,15.03,
2025-04,Amex_Blue_Cash,Shopping,OldNavy,OLD NAVY ON-LINE 084GROVEPORT           OH,35.81,
2025-04,Amex_Blue_Cash,Shopping,Temu,TEMU.COM            WILMINGTON          DE,22.31,
2025-04,Amex_Blue_Cash,Shopping,Walmart,WAL-MART SUPERCENTERLAKE PARK           FL,2.98,
2025-04,Amex_Preferred,Grocery,ALDI,AplPay ALDI 77013 77LAKE PARK           FL,50.38,
2025-04,Amex_Preferred,Grocery,FoodTown,AplPay FOODTOWN OF NWEST PALM BEACH     FL,21.81,
2025-04,Amex_Preferred,Grocery,Publix,AplPay PUBLIX       WEST PALM BEACH     FL,52.599999999999994,
2025-04,Amex_Preferred,Grocery,Spice of India,AplPay SPICE OF INDIWEST PALM BEA       FL,96.25,
2025-04,Amex_Preferred,Shopping,Dress,AplPay ROSS STORES #PALM BCH GDNS       FL,9.62,
2025-04,Amex_Preferred,Subscription,Streaming,WILLOW TV           MOUNTAIN VIEW       CA,9.99,
2025-04,Citi_Costco,Gas,Gas Station,COSTCO GAS #0093 PALM BEACH GAFL,60.099999999999994,
2025-04,Citi_Costco,Gas,Gas Station,COSTCO GAS #0623 ROYAL PALM BEFL,29.62,
2025-04,Citi_Costco,Grocery,Costco,COSTCO WHSE #0093 PALM BEACH GAFL,185.78,
2025-04,Citi_Costco,Trip,Room Rental,AIRBNB * HMX9AXPKP5 San FranciscoCA,1173.37,
2025-05,Amex_Bharu,Grocery,SAMS,SAM'S CLUB 4782 4782KISSIMMEE           FL,89.53999999999999,
2025-05,Amex_Bharu,Grocery,SAMS,SAM'S CLUB 8157 8157W. PALM BEACH       FL,76.15,
2025-05,Amex_Bharu,Grocery,SAMS,SAM'S CLUB FUEL 4782KISSIMMEE           FL,67.76,
2025-05,Amex_Bharu,Shopping,Amazon,AMAZON MARKEPLACE NA PA,65.55,
2025-05,Amex_Bharu,Shopping,Amazon,AMAZON.COM          AMZN.COM/BILL       WA,25.51,
2025-05,Amex_Bharu,Shopping,Walmart,WAL-MART SUPERCENTERLAKE PARK           FL,129.89000000000001,
2025-05,Amex_Bharu,Shopping,Walmart,WAL-MART SUPERCENTERWEST PALM BEACH     FL,20.29,
2025-05,Amex_Bharu,Shopping,Walmart,WALMART.COM         BENTONVILLE         AR,179.76,
2025-05,Amex_Bharu,Shopping,Walmart,WMT PLUS May 2025 028009666546          AR,1.0,
2025-05,Amex_Blue_Cash,Shopping,Walmart,WAL-MART SUPERCENTERLAKE PARK           FL,21.11,
2025-05,Amex_Blue_Cash,Toll,Sunpass,SUNPASS*ACC121623655888-865-5352        FL,10.0,
2025-05,Amex_Preferred,Food,Pizza,AplPay SBARRO PALM BWEST PALM BEA       FL,8.55,
2025-05,Amex_Preferred,Grocery,ALDI,AplPay ALDI 77013 77LAKE PARK           FL,62.72,
2025-05,Amex_Preferred,Grocery,FoodTown,AplPay FOODTOWN 0000WEST PALM BEACH     FL,30.91,
2025-05,Amex_Preferred,Grocery,Publix,AplPay PUBLIX       WEST PALM BEACH     FL,75.0,
2025-05,Amex_Preferred,Grocery,Publix,AplPay PUBLIX #2021 PALM BEACH GA       FL,23.49,
2025-05,Amex_Preferred,Grocery,Spice of India,AplPay SPICE OF INDIWEST PALM BEA       FL,356.8,
2025-05,Amex_Preferred,Shopping,DollarTree,AplPay DOLLAR GENERAKISSIMMEE           FL,3.23,
2025-05,Amex_Preferred,Shopping,DollarTree,AplPay DOLLAR TREE 0LAKE PARK           FL,2.68,
2025-05,Amex_Preferred,Subscription,Streaming,WILLOW TV           MOUNTAIN VIEW       CA,9.99,
2025-05,Amex_Preferred,Water,Water,AplPay NYX=PRIMO WATHUNT VALLEY         MD,1.2999999999999998,
2025-05,Citi_Costco,Food,Office Food,ARAMARK FP AND L JUNO JUNO BEACH FL,3.31,
2025-05,Citi_Costco,Gas,Gas Station,COSTCO GAS #0093 PALM BEACH GAFL,90.19,
2025-05,Citi_Costco,Grocery,Costco,COSTCO WHSE #0093 PALM BEACH GAFL,231.13,
2025-05,Citi_Costco,Grocery,Costco,COSTCO WHSE #651 ORLANDO FL,217.87,
2025-05,Citi_Double,Grocery,Chick-Fil-A,CHICK-FIL-A #01827 LAKE PARK FL null XXXXXXXXXXXX9181,19.47,
2025-06,Amex_Bharu,Shopping,Amazon,AMAZON MARKEPLACE NA PA,52.57,
2025-06,Amex_Bharu,Shopping,Bath&Body,BATHANDBODYWORKS.COM,8.25,
2025-06,Amex_Bharu,Shopping,Crocs,CROCS RETAIL        NIWOT               CO,74.88,
2025-06,Amex_Bharu,Shopping,Walmart,WALMART.COM         BENTONVILLE         AR,10.92,
2025-06,Amex_Blue_Cash,Shopping,Amazon,AMAZON MARKEPLACE NA PA,9.8,
2025-06,Amex_Blue_Cash,Shopping,Crocs,CROCS RETAIL        NIWOT               CO,46.32,
2025-06,Amex_Preferred,Grocery,ALDI,AplPay ALDI 77013 77LAKE PARK           FL,65.56,
2025-06,Amex_Preferred,Grocery,ALDI,AplPay ALDI 77051 77JUPITER             FL,7.58,
2025-06,Amex_Preferred,Grocery,ALDI,AplPay ALDI 77080 77WEST PALM BEA       FL,2.75,
2025-06,Amex_Preferred,Grocery,Farmers Market,AplPay TROPICAL FARMWEST PALM BEA       FL,4.41,
2025-06,Amex_Preferred,Grocery,FoodTown,AplPay FOODTOWN 0000WEST PALM BEACH     FL,49.18,
2025-06,Amex_Preferred,Grocery,Publix,AplPay PUBLIX       JUPITER             FL,3.89,
2025-06,Amex_Preferred,Grocery,Publix,AplPay PUBLIX #2021 PALM BEACH GA       FL,28.87,
2025-06,Amex_Preferred,Grocery,Spice of India,AplPay SPICE OF INDIWEST PALM BEA       FL,153.21,
2025-06,Amex_Preferred,Other,Other,AplPay FORMULA-APP.CDOVER               DE,59.99,AplPay FORMULA-APP.CDOVER               DE
2025-06,Amex_Preferred,Shopping,DollarTree,AplPay DOLLARTREE 00NORTH PALM BE       FL,2.94,
2025-06,Bilt,Class,Class,TACO BELL 733094 PALM BEACH GAFL,13.7,
2025-06,Bilt,Class,Class,WENDYS 8847 PALM BEACH GAFL,2.02,
2025-06,Bilt,Food,Indian Restaurant,SPO*DECCANSPICEINDIANP POMPANO BEACHFL,76.16,
2025-06,Bilt,Food,Pizza,LITTLE CAESARS 3054-00 LAKE PARK FL,18.17,
2025-06,Bilt,Food,Thai,ONE THAI PALM BEACH GAFL,32.26,
2025-06,Bilt,Shopping,DollarTree,DOLLAR TREE ROYAL PALM BEFL,1.34,
2025-06,Bilt,Water,Water,NAYAX **PRIMO WATER CO VISTA CA,5.2,
2025-06,Citi_Costco,Gas,Gas Station,COSTCO GAS #0093 PALM BEACH GAFL,130.17,
2025-06,Citi_Costco,Grocery,Costco,COSTCO WHSE #0093 PALM BEACH GAFL,732.51,
2025-06,Citi_Costco,Grocery,Costco,COSTCO WHSE #0623 ROYAL PALM BEFL,98.75999999999999,
2025-06,Citi_Costco,Toll,Parking,ATI*9902-060373828 ATM.TK CA,15.0,
